
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2018-07-27


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 286,1511,1521,1541,3750,3947,3964,4852,4882,6928,8166
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD100
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD100, 286, -, 1.0, -, 16.8, 27.0, 0.2, "Irpinia_ Italy-01", 1980, "Bisaccia", 6.9, Normal, 17.51, 21.26, 496.46, 0.15, 1.0, RSN286_ITALY_A-BIS000.AT2, RSN286_ITALY_A-BIS270.AT2 , RSN286_ITALY_A-BIS-UP.AT2  
2, RotD100, 1511, -, 1.0, 4.732, 17.5, 29.5, 3.7, "Chi-Chi_ Taiwan", 1999, "TCU076", 7.62, Reverse Oblique, 2.74, 2.74, 614.98, 0.125, 1.0, RSN1511_CHICHI_TCU076-E.AT2, RSN1511_CHICHI_TCU076-N.AT2 , RSN1511_CHICHI_TCU076-V.AT2  
3, RotD100, 1521, -, 1.0, -, 21.8, 24.9, 3.0, "Chi-Chi_ Taiwan", 1999, "TCU089", 7.62, Reverse Oblique, 0.0, 9.0, 671.52, 0.0875, 1.0, RSN1521_CHICHI_TCU089-E.AT2, RSN1521_CHICHI_TCU089-N.AT2 , RSN1521_CHICHI_TCU089-V.AT2  
4, RotD100, 1541, -, 1.0, -, 17.8, 33.3, 1.6, "Chi-Chi_ Taiwan", 1999, "TCU116", 7.62, Reverse Oblique, 12.38, 12.38, 493.09, 0.0375, 1.0, RSN1541_CHICHI_TCU116-E.AT2, RSN1541_CHICHI_TCU116-N.AT2 , RSN1541_CHICHI_TCU116-V.AT2  
5, RotD100, 3750, -, 1.0, -, 8.0, 15.3, 0.9, "Cape Mendocino", 1992, "Loleta Fire Station", 7.01, Reverse, 23.46, 25.91, 515.65, 0.0625, 1.0, RSN3750_CAPEMEND_LFS270.AT2, RSN3750_CAPEMEND_LFS360.AT2 , RSN3750_CAPEMEND_LFS-UP.AT2  
6, RotD100, 3947, -, 1.0, -, 6.3, 31.6, 5.4, "Tottori_ Japan", 2000, "SMNH01", 6.61, strike slip, 5.83, 5.86, 446.34, 0.0625, 1.0, RSN3947_TOTTORI_SMNH01NS.AT2, RSN3947_TOTTORI_SMNH01EW.AT2 , RSN3947_TOTTORI_SMNH01UD.AT2  
7, RotD100, 3964, -, 1.0, -, 4.9, 12.7, 5.2, "Tottori_ Japan", 2000, "TTR007", 6.61, strike slip, 11.28, 11.29, 469.79, 0.075, 1.0, RSN3964_TOTTORI_TTR007NS.AT2, RSN3964_TOTTORI_TTR007EW.AT2 , RSN3964_TOTTORI_TTR007UD.AT2  
8, RotD100, 4852, -, 1.0, -, 4.9, 14.7, 0.4, "Chuetsu-oki_ Japan", 2007, "Joetsu_ Aramaki District", 6.8, Reverse, 30.26, 32.54, 605.71, 0.0875, 1.0, RSN4852_CHUETSU_65018NS.AT2, RSN4852_CHUETSU_65018EW.AT2 , RSN4852_CHUETSU_65018UD.AT2  
9, RotD100, 4882, -, 1.0, -, 7.4, 22.7, 1.8, "Chuetsu-oki_ Japan", 2007, "Ojiya City", 6.8, Reverse, 15.89, 23.44, 430.16, 0.1, 1.0, RSN4882_CHUETSU_65321NS.AT2, RSN4882_CHUETSU_65321EW.AT2 , RSN4882_CHUETSU_65321UD.AT2  
10, RotD100, 6928, -, 1.0, 10.633, 7.6, 12.9, 0.7, "Darfield_ New Zealand", 2010, "LPCC", 7.0, strike slip, 25.21, 25.67, 649.67, 0.125, 1.0, RSN6928_DARFIELD_LPCCN80E.AT2, RSN6928_DARFIELD_LPCCS10E.AT2 , RSN6928_DARFIELD_LPCCUP.AT2  
11, RotD100, 8166, -, 1.0, -, -, -, -, "Duzce_ Turkey", 1999, "IRIGM 498", 7.14, strike slip, 3.58, 3.58, 425.0, 0.1, 1.0, RSN8166_DUZCE_498-NS.AT2, RSN8166_DUZCE_498-EW.AT2 , RSN8166_DUZCE_498-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-286 RotD100 pSa (g),RSN-1511 RotD100 pSa (g),RSN-1521 RotD100 pSa (g),RSN-1541 RotD100 pSa (g),RSN-3750 RotD100 pSa (g),RSN-3947 RotD100 pSa (g),RSN-3964 RotD100 pSa (g),RSN-4852 RotD100 pSa (g),RSN-4882 RotD100 pSa (g),RSN-6928 RotD100 pSa (g),RSN-8166 RotD100 pSa (g)
0.55,0.1674144,0.1658619,0.134,0.4149316,0.9631708,0.262,0.5529581,0.3862264,0.234,0.4535615,0.3398623,0.112,0.2660235,0.3299958,0.119,0.6784647,0.2470021,0.139,1.390076,0.5422019,0.0895,0.1806963,0.2040334,0.0835,0.3892406,0.3523465,0.14,0.3945544,0.2577321,0.293,0.3530302,0.4575104,0.173
0.6,0.1549595,0.1709706,0.111,0.4314101,0.6253425,0.296,0.4884495,0.3232035,0.172,0.4674365,0.3215791,0.122,0.2744456,0.2719815,0.107,0.8037637,0.2333074,0.114,0.9047107,0.390704,0.0728,0.1770939,0.2180471,0.0702,0.3201664,0.3211963,0.108,0.2939086,0.3807631,0.238,0.3077165,0.4057222,0.151
0.65,0.1290753,0.1391263,0.0999,0.3585547,0.5073689,0.343,0.5456219,0.318632,0.206,0.4224353,0.3019486,0.138,0.2906203,0.2517163,0.125,0.5885852,0.2424279,0.0916,0.7073458,0.2991309,0.0709,0.1996353,0.1959122,0.0682,0.2754129,0.3260071,0.124,0.2833875,0.3703302,0.195,0.2881272,0.2905347,0.151
0.667,0.1127031,0.1371404,0.0952,0.3681653,0.5051311,0.358,0.5822754,0.3234092,0.214,0.4192206,0.3124256,0.152,0.2949907,0.2541168,0.124,0.5380561,0.2474183,0.085,0.662421,0.2911268,0.0716,0.2074636,0.1812134,0.0727,0.2996607,0.3469435,0.133,0.2892258,0.3368726,0.19,0.2911988,0.2700743,0.165
0.7,0.1045116,0.1416161,0.0932,0.359895,0.561591,0.371,0.5463771,0.3402697,0.208,0.3934252,0.3734208,0.156,0.2799231,0.2811597,0.113,0.414204,0.2168047,0.0809,0.6334597,0.2549774,0.0784,0.2152142,0.1558871,0.0724,0.303226,0.3917447,0.136,0.2798558,0.2835095,0.164,0.2954409,0.2656984,0.149
0.75,0.1222321,0.1465867,0.0878,0.3632648,0.7727308,0.407,0.4894182,0.3707709,0.231,0.3646958,0.422915,0.168,0.2942418,0.3600484,0.0787,0.3126487,0.2369787,0.0689,0.5602394,0.2201774,0.073,0.2110263,0.1467638,0.0853,0.2011521,0.383532,0.111,0.2531846,0.1973618,0.108,0.2817751,0.2515278,0.131
0.8,0.1387,0.1576188,0.0957,0.4419131,0.894995,0.384,0.4789222,0.2758363,0.203,0.3942563,0.3978355,0.179,0.2736467,0.3677749,0.0786,0.2849586,0.2291982,0.0667,0.4507069,0.1854037,0.082,0.1933321,0.1530708,0.0762,0.2004077,0.3093551,0.123,0.1973894,0.1790792,0.103,0.2367029,0.2781866,0.124
0.85,0.1362029,0.1668749,0.105,0.4925719,0.8838844,0.378,0.4927219,0.2088915,0.246,0.3982261,0.416838,0.169,0.3032767,0.3185837,0.0797,0.2392087,0.20872,0.0601,0.3625664,0.1571216,0.101,0.1574737,0.1372682,0.0614,0.157762,0.2270466,0.0892,0.2346932,0.1615155,0.14,0.2173104,0.1862059,0.144
0.9,0.1058649,0.2112836,0.114,0.4851334,0.7791529,0.383,0.4672605,0.2376558,0.276,0.4674799,0.4306866,0.128,0.313111,0.2657537,0.081,0.2108193,0.2370451,0.0599,0.3324686,0.1342362,0.103,0.1271262,0.1142503,0.0509,0.1705775,0.2908327,0.0739,0.2523876,0.1605701,0.18,0.2090459,0.203802,0.146
0.95,0.112336,0.2425736,0.138,0.4261023,0.651447,0.317,0.4810035,0.2882452,0.243,0.5644001,0.3823318,0.124,0.2962203,0.2298763,0.0756,0.2071978,0.2455548,0.0617,0.2629971,0.1171965,0.0904,0.1027064,0.08990777,0.0414,0.1769376,0.2782461,0.0827,0.2322239,0.1529588,0.164,0.1961455,0.2082083,0.121
1.0,0.123896,0.2535664,0.181,0.3777173,0.7197641,0.299,0.4284831,0.3320791,0.198,0.5956874,0.3448409,0.148,0.2606947,0.2217306,0.0731,0.1973184,0.2374765,0.0659,0.221644,0.1095906,0.0699,0.08907943,0.08338311,0.0384,0.1651757,0.2342692,0.0814,0.1756608,0.1603444,0.124,0.1904371,0.1939556,0.103
1.1,0.1045717,0.2047379,0.178,0.2842682,0.6651605,0.253,0.3665208,0.3723545,0.193,0.5268272,0.2615883,0.141,0.2043468,0.2310722,0.0642,0.1351107,0.1794082,0.0681,0.1557414,0.1011137,0.0441,0.09895883,0.08074351,0.0467,0.1401956,0.2246033,0.0816,0.1351081,0.1828031,0.0779,0.2013823,0.1959698,0.109
1.2,0.1477882,0.1409366,0.123,0.3048668,0.6236858,0.257,0.3144782,0.2742628,0.18,0.4473409,0.2341227,0.127,0.2082298,0.2407158,0.0705,0.1129807,0.1799973,0.0671,0.1443958,0.1021401,0.0366,0.07730514,0.06272656,0.0681,0.1309223,0.2145273,0.0664,0.105325,0.169063,0.0599,0.186011,0.2171736,0.122
1.3,0.166546,0.1227388,0.113,0.2329114,0.5510798,0.233,0.2810383,0.2918771,0.19,0.357031,0.2377423,0.117,0.2093384,0.2347398,0.0569,0.1006334,0.1778371,0.0778,0.1469235,0.1044405,0.0436,0.0848529,0.07011712,0.0612,0.1889942,0.1995041,0.0926,0.1175372,0.1318756,0.0572,0.1770741,0.2034966,0.125
1.4,0.1807934,0.1023503,0.0811,0.1985348,0.4259138,0.272,0.2569306,0.2476734,0.176,0.3753125,0.2535672,0.105,0.2125638,0.2185673,0.0529,0.09662227,0.1638547,0.0837,0.1450099,0.08550719,0.0457,0.08445817,0.07653266,0.0413,0.1660892,0.1901617,0.0952,0.08783735,0.09403071,0.0637,0.169303,0.1701811,0.115
1.5,0.1662335,0.08773197,0.0764,0.1870621,0.3801351,0.278,0.2252569,0.2431266,0.166,0.3028828,0.2483522,0.122,0.2137092,0.2007649,0.0534,0.106748,0.1541558,0.0852,0.1399398,0.06661221,0.0408,0.07828852,0.07748362,0.0334,0.1092757,0.1508087,0.102,0.06807061,0.07199189,0.0642,0.1459191,0.1456439,0.0869
1.6,0.1426719,0.08100818,0.0887,0.1855363,0.3281309,0.294,0.2254166,0.1997295,0.178,0.2480872,0.2814164,0.144,0.2407485,0.1741987,0.0374,0.1056422,0.141184,0.0849,0.1324148,0.06319629,0.0385,0.07002883,0.06641803,0.0317,0.117428,0.1158924,0.0775,0.05647058,0.06602198,0.053,0.1252191,0.1292131,0.062
1.7,0.1655798,0.08760134,0.11,0.1910596,0.2899623,0.274,0.2229259,0.1566868,0.16,0.2078992,0.2813903,0.196,0.2888324,0.1574313,0.0327,0.1030771,0.1311022,0.087,0.1226538,0.05726779,0.0348,0.06440179,0.04664409,0.0293,0.1039838,0.1043101,0.0737,0.04381858,0.06813603,0.0436,0.09520505,0.1120908,0.0576
1.8,0.1729734,0.1026614,0.126,0.2103577,0.2662325,0.238,0.2079832,0.1218277,0.113,0.1880108,0.297254,0.193,0.3274395,0.1818896,0.0313,0.1091219,0.1263044,0.0901,0.1111314,0.05006256,0.0316,0.07057754,0.04518066,0.0326,0.08233546,0.09460564,0.0672,0.04082603,0.07167792,0.0444,0.07488591,0.0951838,0.0509
1.9,0.1795787,0.1189968,0.129,0.188514,0.244841,0.236,0.1682318,0.1001654,0.1,0.2265158,0.2964706,0.181,0.2846484,0.1890365,0.0307,0.1100299,0.1314643,0.093,0.1125619,0.04264908,0.0363,0.07504819,0.04893095,0.0341,0.08265353,0.09193929,0.0624,0.04090138,0.07599942,0.0512,0.05330632,0.07971841,0.0488
2.0,0.1804272,0.1195212,0.107,0.1913873,0.2364389,0.206,0.1485699,0.1092964,0.128,0.1748198,0.2764637,0.204,0.224748,0.1726579,0.0285,0.1072085,0.1302809,0.0942,0.1204554,0.043394,0.0388,0.078586,0.04854004,0.0366,0.1120769,0.08254347,0.0595,0.0466037,0.08099838,0.051,0.03829703,0.0649436,0.0502
2.2,0.1552798,0.08067261,0.07,0.1995485,0.205782,0.199,0.1668922,0.1037568,0.12,0.1697268,0.2086994,0.238,0.2325131,0.09839763,0.0353,0.09470725,0.1396968,0.0964,0.1242835,0.04154509,0.0388,0.06960493,0.04842825,0.0274,0.0990854,0.1057903,0.0599,0.04832922,0.08907136,0.0448,0.03203726,0.05056931,0.0446
2.4,0.1106288,0.06097811,0.0524,0.2054415,0.1717304,0.186,0.1486296,0.09051084,0.0826,0.2021627,0.1368248,0.193,0.2587403,0.08764402,0.0364,0.07647675,0.1304306,0.0942,0.1158294,0.03515483,0.0322,0.03941756,0.04572524,0.0295,0.1086398,0.1236776,0.0456,0.03014168,0.09008573,0.044,0.02758893,0.04888106,0.0424
2.5,0.105412,0.05750266,0.0529,0.2056273,0.163336,0.15,0.1408867,0.08004067,0.0837,0.2212742,0.1302254,0.183,0.2399139,0.0881639,0.0307,0.06699128,0.1254997,0.0903,0.1097251,0.03815848,0.0308,0.03457145,0.04484702,0.0305,0.1121792,0.1220358,0.0442,0.02498961,0.08839014,0.0407,0.02454978,0.04843426,0.0432
2.6,0.09672699,0.0611732,0.0639,0.2083976,0.1561415,0.131,0.1286706,0.07715992,0.0847,0.2302149,0.1356179,0.192,0.2093959,0.09042978,0.0304,0.0655823,0.1194032,0.0866,0.1033701,0.03794291,0.0298,0.03758116,0.04329843,0.0307,0.09870286,0.1159013,0.0425,0.02372715,0.08601883,0.0363,0.02330728,0.04728422,0.0426
2.8,0.07399989,0.07653613,0.0693,0.2054241,0.150271,0.123,0.101902,0.08703653,0.0647,0.1802339,0.1539146,0.199,0.1535622,0.07689413,0.0294,0.06241632,0.1062482,0.0782,0.08824801,0.03817524,0.0312,0.03595958,0.03865866,0.0272,0.06690624,0.1128456,0.0631,0.02143202,0.08205328,0.0282,0.02322583,0.04344019,0.0387
3.0,0.05904314,0.06673548,0.0729,0.193288,0.1428331,0.137,0.1201722,0.09091145,0.0629,0.1315031,0.1277056,0.164,0.148955,0.06617516,0.0286,0.06095762,0.100357,0.0725,0.0844527,0.03662287,0.0311,0.03161781,0.0324639,0.0261,0.05890622,0.1022028,0.0693,0.01881372,0.0797709,0.0252,0.02086512,0.05504658,0.038
3.2,0.05581892,0.04302281,0.076,0.1808204,0.1318843,0.167,0.1041433,0.07435072,0.069,0.1413051,0.1541667,0.17,0.1581237,0.05006813,0.0223,0.05889351,0.09165695,0.068,0.07785611,0.03183114,0.0297,0.03495306,0.02633452,0.0214,0.06772745,0.07977325,0.0566,0.01804901,0.07643027,0.0289,0.02101516,0.06466511,0.0477
3.4,0.05827746,0.03784019,0.0821,0.1693928,0.1259556,0.174,0.1006577,0.06116334,0.0744,0.1532942,0.1814221,0.172,0.1512317,0.04531763,0.0179,0.05783753,0.08080009,0.0612,0.06900756,0.02819435,0.0272,0.03331175,0.02049077,0.0173,0.05147258,0.06101431,0.0364,0.01899075,0.07360931,0.0304,0.02284633,0.07182826,0.049
3.5,0.05956764,0.03263349,0.0828,0.1661932,0.1226385,0.168,0.09290046,0.05836472,0.0766,0.1448624,0.1868882,0.158,0.1392816,0.0494013,0.0187,0.0569808,0.07986503,0.0585,0.06421119,0.02457623,0.0257,0.03132764,0.02064326,0.0178,0.0407221,0.05398249,0.0316,0.01878783,0.07141157,0.03,0.0238875,0.07473126,0.0494
3.6,0.0605248,0.03101881,0.0811,0.162394,0.1184898,0.159,0.08417496,0.05917639,0.0761,0.1410787,0.1938874,0.145,0.1230186,0.05217201,0.0196,0.05555867,0.07910312,0.056,0.05971573,0.02380459,0.0241,0.02915117,0.02045702,0.0182,0.0390183,0.04776035,0.0298,0.01800526,0.06883723,0.0312,0.02517554,0.07733799,0.0473
3.8,0.06113585,0.02839311,0.0728,0.1533351,0.1084544,0.14,0.06691699,0.07826605,0.074,0.1298974,0.1880763,0.175,0.1141214,0.0526809,0.0232,0.05265652,0.07636536,0.0512,0.05664039,0.02328507,0.0216,0.02506769,0.016575,0.0163,0.03894705,0.03865539,0.0251,0.01464363,0.06358986,0.0308,0.02789174,0.07870647,0.0415
4.0,0.06078892,0.0273202,0.0626,0.1461682,0.09798817,0.117,0.05876211,0.08139137,0.079,0.133812,0.1707627,0.174,0.1205416,0.04240196,0.0287,0.04924569,0.07221804,0.0465,0.05411334,0.02201548,0.0196,0.02194742,0.01601058,0.0144,0.03673001,0.03289291,0.0199,0.01440218,0.0580397,0.0279,0.0301167,0.07155506,0.041
4.2,0.06585466,0.02435124,0.0582,0.1403038,0.09316207,0.0924,0.06042785,0.07568047,0.0851,0.1341033,0.1425537,0.16,0.1114197,0.04532943,0.0307,0.04570042,0.06722637,0.0413,0.05067544,0.02062942,0.0186,0.02126621,0.01625353,0.0111,0.03306456,0.03037662,0.0198,0.01328624,0.05429272,0.0253,0.03150711,0.0646681,0.0393
4.4,0.06684832,0.02562377,0.0581,0.1329981,0.09261591,0.0761,0.0600084,0.07360244,0.0798,0.1324193,0.1199369,0.152,0.1025908,0.04485498,0.0267,0.04240104,0.0618107,0.0373,0.05052288,0.01909934,0.0173,0.01759047,0.01594793,0.00961,0.03605822,0.02869149,0.0205,0.0116292,0.05120377,0.0228,0.03375197,0.05489401,0.0371
4.6,0.06353774,0.02774453,0.0591,0.1247631,0.09184206,0.0605,0.06059942,0.0710541,0.0745,0.1281992,0.1076296,0.159,0.1037337,0.04146257,0.0202,0.03939753,0.05645932,0.0338,0.04975152,0.01752768,0.0154,0.0148999,0.01750416,0.00889,0.03897283,0.0275227,0.0201,0.01086538,0.04861391,0.022,0.03577075,0.04694767,0.0349
4.8,0.05752745,0.02835035,0.057,0.1160377,0.08851302,0.0548,0.06413921,0.0659939,0.0697,0.123583,0.09770169,0.155,0.1099541,0.0388312,0.0152,0.03594001,0.05219852,0.0306,0.0473722,0.01650299,0.014,0.01482955,0.01720591,0.00892,0.04255042,0.02650457,0.018,0.00967086,0.04629346,0.0208,0.03745383,0.04202239,0.0339
5.0,0.05231932,0.02831738,0.0509,0.1075305,0.08464893,0.0498,0.07232172,0.06005898,0.0679,0.1153788,0.09001238,0.128,0.1129115,0.03866779,0.015,0.0320841,0.04789304,0.0276,0.04422664,0.01583359,0.0123,0.01740453,0.01541471,0.00909,0.04767897,0.02584184,0.0169,0.00925825,0.04403481,0.0193,0.03964943,0.04001644,0.0333
5.5,0.04022913,0.02565076,0.0412,0.08822712,0.0781371,0.0422,0.0816096,0.04029361,0.0487,0.0941431,0.08416009,0.0902,0.1122415,0.03934238,0.0125,0.02553029,0.03776418,0.0219,0.03588107,0.01426722,0.00996,0.01753147,0.01514919,0.00906,0.05192448,0.03476034,0.0193,0.00793506,0.03843282,0.0158,0.04040265,0.0354882,0.0311
6.0,0.02767271,0.02008335,0.0335,0.07153554,0.0784389,0.0321,0.07267167,0.0274725,0.0273,0.08858924,0.07965121,0.0795,0.09631994,0.03538724,0.0106,0.02287865,0.02985908,0.0177,0.03027386,0.0124323,0.00826,0.01817357,0.01583925,0.0097,0.04282945,0.04186324,0.0167,0.0068708,0.03367555,0.012,0.03983729,0.04074177,0.0292
6.5,0.02187246,0.01748605,0.0287,0.06432462,0.06352876,0.027,0.05295923,0.0266468,0.0217,0.08065178,0.07252688,0.073,0.0806063,0.02960701,0.00966,0.02024499,0.02609635,0.0144,0.02657296,0.01121583,0.00688,0.01915034,0.01317179,0.00927,0.03360041,0.04124947,0.0147,0.00649987,0.03307374,0.00944,0.03926907,0.04900089,0.0303
7.0,0.02142251,0.01284509,0.0255,0.05508862,0.05147668,0.024,0.03867976,0.02872389,0.0176,0.07097886,0.06386755,0.0645,0.0722689,0.02726378,0.00862,0.01768632,0.02369356,0.0118,0.0236873,0.00985018,0.00576,0.01726817,0.00998075,0.00841,0.02126674,0.03568209,0.0106,0.00627676,0.03252239,0.00846,0.03874006,0.04851224,0.0301
7.5,0.02250751,0.01109747,0.0245,0.04606659,0.04692423,0.0252,0.03087287,0.02989924,0.016,0.06105449,0.05483443,0.054,0.06276981,0.02550691,0.00754,0.01534946,0.02123263,0.00993,0.02047881,0.00851589,0.00484,0.0142382,0.0075223,0.00809,0.01598251,0.03066493,0.0072,0.00730038,0.03157987,0.0074,0.03448503,0.04229971,0.0283
8.0,0.02325619,0.01006865,0.0227,0.04067647,0.04165792,0.0245,0.02667389,0.02757602,0.0153,0.05134988,0.05808902,0.0429,0.05285448,0.02281522,0.006,0.01339357,0.01908398,0.00846,0.01741121,0.00782737,0.00406,0.0127022,0.00592575,0.00688,0.01081177,0.02447934,0.00613,0.00713749,0.03100279,0.00627,0.02976707,0.03580076,0.0261
8.5,0.02252143,0.00933852,0.02,0.03713878,0.03584142,0.0224,0.02288346,0.02432609,0.0149,0.04886493,0.052442,0.0359,0.04340738,0.02003027,0.00525,0.01176132,0.01749289,0.00718,0.01475568,0.0072929,0.0034,0.01155545,0.00544724,0.00525,0.00827273,0.01957352,0.0049,0.00619886,0.02931431,0.0052,0.02629317,0.02892772,0.0236
9.0,0.02038714,0.00834236,0.0167,0.03377716,0.03088424,0.0218,0.01942517,0.02265683,0.0141,0.0455921,0.04495158,0.0321,0.03896318,0.01727843,0.00447,0.0102604,0.01571136,0.0061,0.01276827,0.00679133,0.00286,0.00953178,0.00518441,0.00441,0.00660782,0.01536278,0.00368,0.00513766,0.02703626,0.00426,0.02253228,0.02229482,0.0209
9.5,0.01767716,0.00711573,0.0152,0.03044597,0.02695048,0.0204,0.01681495,0.02135576,0.0131,0.03843642,0.03864904,0.0283,0.03453845,0.0150749,0.00366,0.00893821,0.01429689,0.0053,0.011037,0.00641732,0.00241,0.00790629,0.00478279,0.00381,0.00508513,0.01291299,0.00339,0.00426616,0.02474795,0.00361,0.01896959,0.01697165,0.0181
10.0,0.01674683,0.00581051,0.0138,0.02722984,0.0240572,0.0178,0.01564856,0.01997229,0.0116,0.03385043,0.0294901,0.0246,0.03032181,0.0127341,0.00289,0.00780268,0.01294607,0.00489,0.00953345,0.00611924,0.00205,0.00670129,0.00402892,0.00319,0.00469982,0.01118769,0.00305,0.00359896,0.02237066,0.00322,0.01551949,0.0130321,0.0162
11.0,0.01407428,0.00429807,0.0112,0.021472,0.01892103,0.013,0.01300419,0.01758621,0.00923,0.02759069,0.01978423,0.0181,0.02317848,0.01158179,0.00215,0.00598472,0.01047733,0.0042,0.00772588,0.00534608,0.0017,0.00465421,0.00334661,0.00214,0.00429198,0.00828839,0.00227,0.00249336,0.01778896,0.00257,0.01115705,0.00846962,0.0112
12.0,0.01120687,0.003494,0.00878,0.01685315,0.01498899,0.0115,0.0122355,0.01556891,0.00904,0.02385846,0.01441824,0.0141,0.01767192,0.01123443,0.00176,0.00456551,0.00840937,0.00366,0.00649167,0.0046028,0.0015,0.00364864,0.0023443,0.00164,0.00384675,0.00661493,0.00177,0.00196111,0.013877,0.00208,0.00864148,0.00633776,0.00847
13.0,0.00866746,0.00251769,0.00665,0.01332712,0.01331203,0.00885,0.00983385,0.0134457,0.00963,0.02035424,0.01050157,0.0112,0.01358954,0.00867892,0.00139,0.00398903,0.00729192,0.00322,0.00549505,0.00386036,0.00133,0.00283616,0.00198182,0.00128,0.003118,0.00576071,0.00164,0.00148913,0.01070557,0.00171,0.00675704,0.0052915,0.0067
14.0,0.00661557,0.00198892,0.00493,0.01069078,0.0120121,0.00648,0.00697216,0.01147169,0.00986,0.01727856,0.00843187,0.00905,0.01176423,0.00609743,0.0011,0.00360443,0.00642072,0.00285,0.00467984,0.00323032,0.00117,0.00219108,0.00166159,0.00102,0.00245298,0.00492461,0.00126,0.0011235,0.00889884,0.00144,0.00531353,0.0044479,0.00543
15.0,0.00515075,0.00168665,0.00381,0.00872711,0.01090693,0.00477,0.00569747,0.00971547,0.00957,0.01464646,0.00714682,0.00741,0.01010482,0.00488097,0.000909,0.00323,0.00565669,0.00254,0.0040088,0.00267318,0.001,0.00172059,0.00137383,0.000828,0.00195348,0.00414314,0.000907,0.00087004,0.00744857,0.00124,0.00424972,0.00397224,0.00442
20.0,0.00277648,0.0008106,0.00191,0.00403959,0.00637459,0.00212,0.0026448,0.00428123,0.00499,0.0060986,0.00367079,0.00329,0.00480674,0.00246984,0.000421,0.00169104,0.00305575,0.00146,0.00202406,0.00149875,0.00044,0.00074128,0.00051858,0.000395,0.00097605,0.00164213,0.000433,0.00043426,0.00325318,0.000666,0.00223031,0.00239778,0.00208
