
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2018-07-27


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 139,143,286,1165,1511,1521,1541,3750,4848,4882,8166
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD100
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, RotD100, 139, -, 1.0, -, 6.7, 11.3, 1.4, "Tabas_ Iran", 1978, "Dayhook", 7.35, Reverse, 0.0, 13.94, 471.53, 0.25, 1.0, RSN139_TABAS_DAY-L1.AT2, RSN139_TABAS_DAY-T1.AT2 , RSN139_TABAS_DAY-V1.AT2  
2, RotD100, 143, -, 1.0, 6.188, 8.3, 16.5, 11.8, "Tabas_ Iran", 1978, "Tabas", 7.35, Reverse, 1.79, 2.05, 766.77, 0.125, 1.0, RSN143_TABAS_TAB-L1.AT2, RSN143_TABAS_TAB-T1.AT2 , RSN143_TABAS_TAB-V1.AT2  
3, RotD100, 286, -, 1.0, -, 16.8, 27.0, 0.2, "Irpinia_ Italy-01", 1980, "Bisaccia", 6.9, Normal, 17.51, 21.26, 496.46, 0.15, 1.0, RSN286_ITALY_A-BIS000.AT2, RSN286_ITALY_A-BIS270.AT2 , RSN286_ITALY_A-BIS-UP.AT2  
4, RotD100, 1165, -, 1.0, 5.369, 8.2, 15.1, 0.8, "Kocaeli_ Turkey", 1999, "Izmit", 7.51, strike slip, 3.62, 7.21, 811.0, 0.125, 1.0, RSN1165_KOCAELI_IZT180.AT2, RSN1165_KOCAELI_IZT090.AT2 , RSN1165_KOCAELI_IZT-UP.AT2  
5, RotD100, 1511, -, 1.0, 4.732, 17.5, 29.5, 3.7, "Chi-Chi_ Taiwan", 1999, "TCU076", 7.62, Reverse Oblique, 2.74, 2.74, 614.98, 0.125, 1.0, RSN1511_CHICHI_TCU076-E.AT2, RSN1511_CHICHI_TCU076-N.AT2 , RSN1511_CHICHI_TCU076-V.AT2  
6, RotD100, 1521, -, 1.0, -, 21.8, 24.9, 3.0, "Chi-Chi_ Taiwan", 1999, "TCU089", 7.62, Reverse Oblique, 0.0, 9.0, 671.52, 0.0875, 1.0, RSN1521_CHICHI_TCU089-E.AT2, RSN1521_CHICHI_TCU089-N.AT2 , RSN1521_CHICHI_TCU089-V.AT2  
7, RotD100, 1541, -, 1.0, -, 17.8, 33.3, 1.6, "Chi-Chi_ Taiwan", 1999, "TCU116", 7.62, Reverse Oblique, 12.38, 12.38, 493.09, 0.0375, 1.0, RSN1541_CHICHI_TCU116-E.AT2, RSN1541_CHICHI_TCU116-N.AT2 , RSN1541_CHICHI_TCU116-V.AT2  
8, RotD100, 3750, -, 1.0, -, 8.0, 15.3, 0.9, "Cape Mendocino", 1992, "Loleta Fire Station", 7.01, Reverse, 23.46, 25.91, 515.65, 0.0625, 1.0, RSN3750_CAPEMEND_LFS270.AT2, RSN3750_CAPEMEND_LFS360.AT2 , RSN3750_CAPEMEND_LFS-UP.AT2  
9, RotD100, 4848, -, 1.0, -, 6.1, 16.6, 0.7, "Chuetsu-oki_ Japan", 2007, "Joetsu Ogataku", 6.8, Reverse, 16.77, 17.93, 414.23, 0.0875, 1.0, RSN4848_CHUETSU_65011NS.AT2, RSN4848_CHUETSU_65011EW.AT2 , RSN4848_CHUETSU_65011UD.AT2  
10, RotD100, 4882, -, 1.0, -, 7.4, 22.7, 1.8, "Chuetsu-oki_ Japan", 2007, "Ojiya City", 6.8, Reverse, 15.89, 23.44, 430.16, 0.1, 1.0, RSN4882_CHUETSU_65321NS.AT2, RSN4882_CHUETSU_65321EW.AT2 , RSN4882_CHUETSU_65321UD.AT2  
11, RotD100, 8166, -, 1.0, -, -, -, -, "Duzce_ Turkey", 1999, "IRIGM 498", 7.14, strike slip, 3.58, 3.58, 425.0, 0.1, 1.0, RSN8166_DUZCE_498-NS.AT2, RSN8166_DUZCE_498-EW.AT2 , RSN8166_DUZCE_498-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-139 RotD100 pSa (g),RSN-143 RotD100 pSa (g),RSN-286 RotD100 pSa (g),RSN-1165 RotD100 pSa (g),RSN-1511 RotD100 pSa (g),RSN-1521 RotD100 pSa (g),RSN-1541 RotD100 pSa (g),RSN-3750 RotD100 pSa (g),RSN-4848 RotD100 pSa (g),RSN-4882 RotD100 pSa (g),RSN-8166 RotD100 pSa (g)
1.2,0.36456189,0.63185124,0.21034282,0.2950473,0.8566353,0.1831646,0.2433304,0.6352693,0.3696273,0.460597,0.2767893,0.1966641,0.2208823,0.2721739
1.3,0.34784003,0.61057379,0.19816227,0.2537347,0.8781089,0.1768385,0.266082,0.5578076,0.3576389,0.3697331,0.3021827,0.2235471,0.2023619,0.2382049
1.4,0.30916945,0.49898057,0.19156206,0.2098036,0.7044615,0.1830974,0.2734592,0.4379476,0.321407,0.3823456,0.2775466,0.2299258,0.1957799,0.1850897
1.5,0.28023385,0.43830772,0.17916866,0.2057633,0.5967451,0.1678752,0.2684952,0.4093595,0.256998,0.34061,0.2760015,0.2568578,0.1518967,0.15197
1.6,0.25894177,0.40690051,0.16478436,0.1841971,0.5513114,0.1429424,0.2547124,0.3614595,0.2526747,0.3178473,0.2691681,0.2484206,0.1268312,0.1387948
1.7,0.25030739,0.39455487,0.15879614,0.1879037,0.5293351,0.1674856,0.2390675,0.3363788,0.2587204,0.3035465,0.3066158,0.1985945,0.1079579,0.1177755
1.8,0.25782989,0.43173665,0.15397408,0.1972281,0.5939531,0.183478,0.2260389,0.3156205,0.2190382,0.3270293,0.3529752,0.2257893,0.09978434,0.09519389
1.9,0.25313089,0.45854868,0.13973489,0.200508,0.6679873,0.1972015,0.2108837,0.2981035,0.1749626,0.3189738,0.3071933,0.227204,0.100982,0.08044013
2.0,0.23755384,0.45063117,0.12522841,0.1874344,0.6740389,0.1985839,0.1946298,0.2842675,0.1529699,0.2948828,0.2376452,0.2089139,0.1122333,0.06749263
2.2,0.20313931,0.37113127,0.11118863,0.1335479,0.5461501,0.1566434,0.1640019,0.2676383,0.167634,0.2325407,0.232521,0.1677118,0.1098754,0.05626791
2.4,0.18552888,0.33488873,0.10278329,0.1061585,0.4748269,0.1115923,0.1478946,0.2596099,0.1611328,0.2033244,0.2604216,0.1277339,0.1334725,0.05465031
2.5,0.18021067,0.32675862,0.099388,0.09764822,0.4580972,0.1054422,0.145958,0.2559194,0.1437488,0.2282646,0.2426166,0.1102978,0.1405363,0.05378828
2.6,0.17327981,0.31727045,0.09463816,0.09496415,0.4420693,0.09678335,0.143804,0.2516585,0.128692,0.2473405,0.2111869,0.1131055,0.124229,0.05224469
2.8,0.16178694,0.30591601,0.08556275,0.09707586,0.4364367,0.07798697,0.1366217,0.2499613,0.1203409,0.2198009,0.1551936,0.1130743,0.1251853,0.04797881
3.0,0.15388984,0.28231945,0.083884,0.09407867,0.4092225,0.06901398,0.1280575,0.2396946,0.1386374,0.1585815,0.1546933,0.1332553,0.1102428,0.05731071
3.2,0.14670676,0.26330299,0.08174185,0.08333949,0.3682851,0.06100202,0.1163949,0.2238064,0.1123717,0.1905639,0.1630529,0.1440235,0.08378894,0.06714551
3.4,0.13699441,0.24439042,0.07679298,0.07294202,0.3391787,0.06239077,0.1064411,0.2079208,0.1006684,0.1888439,0.15512,0.1277183,0.07114558,0.07456894
3.5,0.13182633,0.23746131,0.07318321,0.06847733,0.3301411,0.06240597,0.1039437,0.1990344,0.09854022,0.1887556,0.1429832,0.1187463,0.06157639,0.07548543
3.6,0.1290276,0.24662609,0.06750349,0.06185955,0.3482866,0.06211835,0.1014121,0.1927335,0.09332308,0.1968264,0.1267521,0.1065288,0.05197103,0.07749212
3.8,0.12470466,0.26772833,0.05808594,0.05517888,0.3858894,0.06125429,0.09647803,0.1825126,0.07865341,0.1953018,0.1197254,0.0784748,0.03944189,0.07884072
4.0,0.12398342,0.28538154,0.05386434,0.05392792,0.4171796,0.06160761,0.09090841,0.1719814,0.08177996,0.1869544,0.1243106,0.06633307,0.0369198,0.07191484
4.2,0.12119852,0.29892037,0.04914045,0.04639361,0.4357395,0.06788582,0.08670031,0.1663985,0.07925768,0.1841883,0.1133726,0.054474,0.03328168,0.06549171
4.4,0.11846237,0.30800626,0.04556184,0.04209716,0.4482281,0.07046687,0.08370962,0.1595795,0.07983176,0.1772152,0.1044984,0.04559056,0.03613953,0.05572937
4.6,0.11510464,0.30658299,0.0432153,0.03665246,0.4469455,0.06866524,0.08042102,0.1518031,0.07244467,0.1641846,0.1079085,0.04148416,0.03964865,0.0559931
4.8,0.11158408,0.29873019,0.04167977,0.0341486,0.4373559,0.06379087,0.07525288,0.1435224,0.07114153,0.1479917,0.1164434,0.03932533,0.04258724,0.05586504
5.0,0.10842413,0.28936013,0.04062685,0.03218822,0.4258085,0.05856387,0.06861509,0.136226,0.07385391,0.1350894,0.1193463,0.03988837,0.04821607,0.05486967
5.5,0.09797617,0.25173874,0.03813212,0.03022262,0.3754033,0.04723005,0.05338087,0.1178457,0.08228255,0.107161,0.1141692,0.04632898,0.05279741,0.05091624
6.0,0.08274711,0.19874746,0.03445118,0.02413489,0.2989173,0.03343695,0.04468251,0.09917849,0.07272877,0.08908115,0.09647933,0.05270664,0.05507277,0.04379941
6.5,0.07064512,0.16322714,0.03057539,0.01990813,0.2462691,0.02609244,0.03669133,0.08193544,0.05553265,0.08119981,0.08137928,0.04916312,0.04769628,0.05122878
7.0,0.06068981,0.12833827,0.02869957,0.02131895,0.1930607,0.02492531,0.03068285,0.07216965,0.04268391,0.07142416,0.07319874,0.04562677,0.03919115,0.05330571
7.5,0.05250976,0.10364757,0.02660241,0.02421213,0.1540401,0.02414026,0.02498077,0.06323241,0.03533483,0.06778845,0.06298727,0.03808821,0.03289521,0.04990777
8.0,0.0453038,0.08640427,0.02375385,0.02516757,0.1254166,0.02405687,0.02017161,0.05287457,0.02947698,0.06830865,0.05292677,0.03102008,0.02522922,0.04369286
8.5,0.03937809,0.07232665,0.02143932,0.02457769,0.1022749,0.02326789,0.0172695,0.0464544,0.0270776,0.0643288,0.04391143,0.02760029,0.01958287,0.03681363
9.0,0.03436564,0.06206922,0.01902709,0.0225492,0.08612444,0.02119667,0.01499547,0.04051819,0.02569318,0.0579256,0.03943744,0.02351437,0.01579491,0.03027252
9.5,0.02999274,0.05544413,0.0162247,0.01981169,0.07821795,0.01841805,0.013074,0.0366147,0.02320012,0.04811979,0.03571273,0.01938066,0.01292378,0.02444664
10.0,0.02646285,0.04999434,0.01400723,0.01658774,0.07081404,0.01705645,0.01144786,0.03325455,0.02173044,0.04186963,0.03215555,0.01558025,0.01123654,0.01935826
11.0,0.02109252,0.04084141,0.01089322,0.01345258,0.05753677,0.0143706,0.00889575,0.02716601,0.01953946,0.03340293,0.02572909,0.00974423,0.00834555,0.01383473
12.0,0.01656449,0.03277729,0.00837111,0.01008192,0.04651894,0.01149521,0.00703433,0.0222634,0.01606548,0.02505117,0.02008399,0.00706485,0.00666725,0.00988287
13.0,0.01340361,0.02669245,0.00673062,0.00756141,0.0376548,0.00894726,0.00569364,0.01858965,0.01408311,0.02089647,0.01494676,0.00594095,0.00583971,0.00728592
14.0,0.01112282,0.02206697,0.00560644,0.00611623,0.03064271,0.00688504,0.00470471,0.01587805,0.01225421,0.01769866,0.01248374,0.00500724,0.00501508,0.00566538
15.0,0.00934044,0.01841374,0.00473797,0.00519051,0.02515452,0.00529267,0.00392911,0.01380801,0.01041517,0.01498149,0.01083634,0.00424455,0.00422633,0.00466613
20.0,0.00443781,0.00858499,0.00229402,0.00219181,0.01163161,0.00278745,0.00227083,0.00749408,0.00479654,0.00624964,0.00513036,0.00209977,0.00168745,0.00247638

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
Period (sec),RSN-139 Horizontal-1 pSa (g),RSN-139 Horizontal-2 pSa (g),RSN-139 Vertical pSa (g),RSN-143 Horizontal-1 pSa (g),RSN-143 Horizontal-2 pSa (g),RSN-143 Vertical pSa (g),RSN-286 Horizontal-1 pSa (g),RSN-286 Horizontal-2 pSa (g),RSN-286 Vertical pSa (g),RSN-1165 Horizontal-1 pSa (g),RSN-1165 Horizontal-2 pSa (g),RSN-1165 Vertical pSa (g),RSN-1511 Horizontal-1 pSa (g),RSN-1511 Horizontal-2 pSa (g),RSN-1511 Vertical pSa (g),RSN-1521 Horizontal-1 pSa (g),RSN-1521 Horizontal-2 pSa (g),RSN-1521 Vertical pSa (g),RSN-1541 Horizontal-1 pSa (g),RSN-1541 Horizontal-2 pSa (g),RSN-1541 Vertical pSa (g),RSN-3750 Horizontal-1 pSa (g),RSN-3750 Horizontal-2 pSa (g),RSN-3750 Vertical pSa (g),RSN-4848 Horizontal-1 pSa (g),RSN-4848 Horizontal-2 pSa (g),RSN-4848 Vertical pSa (g),RSN-4882 Horizontal-1 pSa (g),RSN-4882 Horizontal-2 pSa (g),RSN-4882 Vertical pSa (g),RSN-8166 Horizontal-1 pSa (g),RSN-8166 Horizontal-2 pSa (g),RSN-8166 Vertical pSa (g)
0.01,0.3351707,0.4120741,0.194,0.8633023,0.8706629,0.655,0.09561204,0.08276513,0.0538,0.1651513,0.230558,0.146,0.3449903,0.4303344,0.285,0.3537172,0.2294518,0.198,0.1890508,0.1355325,0.122,0.2660577,0.2613016,0.124,0.3279654,0.1914902,0.122,0.271442,0.4033521,0.16,0.3548856,0.3998567,0.188
0.02,0.3365299,0.4140052,0.194,0.8705333,0.8769096,0.655,0.09563585,0.08272874,0.0539,0.1668308,0.2321548,0.149,0.3476068,0.4376678,0.304,0.3553317,0.2317127,0.217,0.1894899,0.1411247,0.125,0.2672058,0.2637348,0.127,0.3238456,0.1940704,0.123,0.2674392,0.3964729,0.157,0.354119,0.4316056,0.283
0.022,0.3732638,0.420209,0.203,0.8897209,0.9026871,0.706,0.09563614,0.08305022,0.0545,0.1660551,0.2327486,0.148,0.3465594,0.4521659,0.301,0.357351,0.2330478,0.235,0.1910759,0.143917,0.131,0.2673348,0.2643877,0.129,0.3263717,0.1948314,0.124,0.2680951,0.3979436,0.158,0.3735822,0.4425007,0.286
0.025,0.3854431,0.4253499,0.235,0.9217186,0.9610454,0.779,0.09614916,0.082819,0.0543,0.1661519,0.2331287,0.152,0.3636618,0.4597175,0.304,0.3570605,0.22963,0.257,0.1897049,0.1483731,0.135,0.2686343,0.2657024,0.132,0.3322145,0.1954669,0.124,0.2899665,0.4029579,0.16,0.4202586,0.441926,0.333
0.029,0.3798312,0.4237614,0.209,0.8950655,0.9491086,0.846,0.09623476,0.08370294,0.0544,0.1682613,0.2355906,0.157,0.4593544,0.4639752,0.327,0.3579106,0.2404865,0.263,0.1895682,0.153114,0.13,0.2671009,0.2661621,0.129,0.340737,0.1970445,0.126,0.3002452,0.4040028,0.166,0.4124001,0.4172543,0.375
0.03,0.3802991,0.41914,0.19,0.8749089,0.9669806,0.837,0.09618101,0.08366206,0.0543,0.1679697,0.2363761,0.159,0.4824923,0.4756172,0.342,0.3571266,0.2461042,0.281,0.1889981,0.1505969,0.13,0.2683314,0.2645741,0.133,0.3407821,0.2013273,0.125,0.3067198,0.4028698,0.168,0.4018606,0.43027,0.385
0.032,0.3612636,0.4040229,0.186,0.8484931,0.9496179,0.777,0.09599569,0.08417387,0.0549,0.1675214,0.2420311,0.167,0.5349367,0.4967775,0.365,0.3594908,0.2549304,0.304,0.1910317,0.1486432,0.132,0.2697073,0.2654195,0.135,0.3460577,0.2038762,0.127,0.3128875,0.397992,0.17,0.3802367,0.4620003,0.423
0.035,0.330165,0.4085291,0.187,0.8549948,0.9516967,0.754,0.09594701,0.08430077,0.0581,0.1679787,0.2502625,0.183,0.6113403,0.4677846,0.375,0.3575208,0.2500914,0.343,0.193155,0.1520897,0.132,0.2764555,0.2614296,0.139,0.3480391,0.1987629,0.14,0.3116531,0.3914995,0.187,0.3993973,0.4933381,0.456
0.036,0.3269274,0.4099262,0.185,0.856208,0.9560682,0.752,0.09636667,0.08445623,0.0596,0.1736145,0.2550363,0.184,0.5923027,0.4676824,0.381,0.3614582,0.2530764,0.356,0.1923176,0.1540334,0.138,0.2811223,0.2625533,0.139,0.3529756,0.20032,0.149,0.3093973,0.3968543,0.191,0.4034379,0.4968581,0.512
0.04,0.3304319,0.4117497,0.194,0.8681007,0.9641169,0.766,0.0968034,0.08457641,0.0619,0.1842946,0.2550064,0.215,0.5988888,0.52701,0.341,0.3709882,0.2537677,0.381,0.1892459,0.1425339,0.147,0.2832099,0.268675,0.137,0.3365022,0.2001119,0.137,0.300667,0.4212047,0.23,0.4219514,0.5665758,0.53
0.042,0.3337883,0.4137645,0.204,0.8715319,0.9713947,0.78,0.09628333,0.08366565,0.0698,0.1834261,0.2507522,0.216,0.6390762,0.5745558,0.374,0.3697256,0.27222,0.377,0.1902013,0.1482554,0.154,0.2871104,0.27626,0.149,0.3195246,0.2078314,0.147,0.2986889,0.4256199,0.228,0.4006843,0.5913386,0.536
0.044,0.3462344,0.4177358,0.21,0.8720204,0.987767,0.805,0.0955599,0.08439825,0.082,0.1896501,0.2515555,0.228,0.6278493,0.5863056,0.413,0.3659543,0.2940422,0.447,0.1901538,0.1446154,0.151,0.2941372,0.2771606,0.153,0.3350115,0.213282,0.166,0.2938411,0.428672,0.232,0.3869924,0.6120198,0.507
0.045,0.354598,0.4197532,0.211,0.8701672,0.9961538,0.824,0.09596749,0.0849256,0.0872,0.1973328,0.2514899,0.236,0.6105539,0.5987289,0.395,0.3625773,0.3050361,0.457,0.1927364,0.1423396,0.151,0.2956243,0.2731245,0.156,0.3404544,0.2137181,0.171,0.2944318,0.4280692,0.249,0.3997095,0.6501532,0.498
0.046,0.3649983,0.4221778,0.21,0.8702551,1.000468,0.841,0.0965294,0.08551535,0.0893,0.2061264,0.2487051,0.239,0.6082172,0.6321719,0.384,0.3652081,0.3101426,0.452,0.196397,0.1423558,0.152,0.2945742,0.2714976,0.159,0.34214,0.2109242,0.177,0.2933168,0.4278792,0.266,0.4029642,0.649865,0.489
0.048,0.3845285,0.427554,0.215,0.8726655,1.001069,0.871,0.09718814,0.085684,0.0951,0.2159407,0.2429964,0.244,0.6133627,0.6223218,0.391,0.369046,0.3021741,0.431,0.2006377,0.1491928,0.155,0.2842474,0.2850204,0.166,0.3487473,0.2015265,0.178,0.3017067,0.4252623,0.29,0.3884637,0.6423517,0.452
0.05,0.4031347,0.4342519,0.227,0.8731987,0.99189,0.963,0.09807236,0.08440293,0.099,0.203406,0.2513342,0.262,0.6017607,0.6222374,0.421,0.3760782,0.307124,0.411,0.1995791,0.1608827,0.162,0.2779496,0.2943151,0.171,0.3638272,0.2104616,0.168,0.3161555,0.4210484,0.324,0.3821987,0.5957848,0.475
0.055,0.4626021,0.4456871,0.247,0.8731424,1.106401,1.1,0.09713427,0.08348576,0.0948,0.2014366,0.2573071,0.257,0.6261225,0.6358302,0.478,0.4090978,0.2951315,0.383,0.2004072,0.1555288,0.168,0.2970349,0.2763375,0.204,0.3867671,0.2464205,0.164,0.3368715,0.430976,0.419,0.376974,0.5319225,0.528
0.06,0.5004107,0.4393822,0.327,0.9573532,1.183047,1.23,0.09585867,0.08621336,0.118,0.2145021,0.2825787,0.328,0.55744,0.6119016,0.52,0.4060939,0.2900679,0.45,0.2050279,0.1502357,0.179,0.3009132,0.2964374,0.227,0.421734,0.2615516,0.207,0.3367672,0.4663315,0.346,0.363165,0.5705485,0.612
0.065,0.4897088,0.4760788,0.419,1.040879,1.090615,1.34,0.09762057,0.08727362,0.112,0.2086192,0.2987867,0.377,0.5022463,0.5721835,0.599,0.3861664,0.2735153,0.373,0.2012633,0.1596484,0.195,0.2820381,0.3004026,0.257,0.3987653,0.2839265,0.257,0.3409713,0.5083935,0.386,0.4010223,0.5775733,0.569
0.067,0.4993497,0.4876652,0.508,1.020883,1.096457,1.32,0.09835894,0.085962,0.0946,0.213727,0.2901647,0.397,0.514066,0.6670244,0.522,0.3967786,0.3095082,0.37,0.1967088,0.1706555,0.202,0.2712936,0.3086987,0.265,0.3851669,0.2971376,0.266,0.3466128,0.5323344,0.386,0.369965,0.5326965,0.551
0.07,0.5116037,0.5304462,0.595,1.077708,1.189189,1.45,0.09860671,0.08663084,0.0862,0.2093681,0.275964,0.403,0.5276262,0.7091827,0.566,0.4195045,0.3663372,0.408,0.1997835,0.1770987,0.18,0.2905254,0.3434921,0.323,0.3864231,0.3264054,0.272,0.3612365,0.5490602,0.404,0.4186611,0.5636424,0.502
0.075,0.5064988,0.5752088,0.63,1.316766,1.529668,1.84,0.1011946,0.08769365,0.0995,0.2479267,0.304271,0.486,0.5100145,0.6187328,0.683,0.4670412,0.3673446,0.533,0.204783,0.1795219,0.205,0.3160033,0.3756933,0.349,0.4432698,0.4311074,0.275,0.3565163,0.5517513,0.413,0.4409258,0.6369368,0.524
0.08,0.5550311,0.6568671,0.55,1.499535,1.857332,1.75,0.1002638,0.08893153,0.103,0.2969945,0.3183475,0.638,0.5221447,0.6048431,0.64,0.5051298,0.3440533,0.43,0.2008799,0.1926336,0.24,0.3124325,0.3660473,0.324,0.4731239,0.4443966,0.264,0.4146913,0.4961285,0.385,0.4264621,0.739992,0.485
0.085,0.5598791,0.7655991,0.489,1.60005,1.815484,2.0,0.1005012,0.08922952,0.0983,0.2892695,0.3985325,0.532,0.4683294,0.6309262,0.729,0.5203561,0.3290411,0.389,0.2004967,0.2261357,0.257,0.3226526,0.3944517,0.309,0.4770602,0.4246156,0.368,0.4734955,0.5617768,0.365,0.4713374,0.7190025,0.421
0.09,0.6219007,0.7426262,0.552,1.586066,1.619366,2.14,0.1003893,0.08943343,0.111,0.2849192,0.4137725,0.439,0.4779193,0.5876491,0.71,0.5096943,0.349927,0.449,0.2510788,0.2285162,0.298,0.3539967,0.4441588,0.342,0.6039881,0.4117317,0.429,0.5113043,0.5520384,0.399,0.4281903,0.6351137,0.391
0.095,0.7187318,0.6929658,0.586,1.679383,1.50088,1.57,0.1011155,0.0847597,0.137,0.2581544,0.3909979,0.43,0.5209454,0.6937262,0.635,0.5822287,0.3827378,0.461,0.2590373,0.235735,0.304,0.36237,0.5525324,0.333,0.6756022,0.3687538,0.518,0.5399153,0.5615926,0.428,0.4588691,0.6717479,0.5
0.1,0.8441098,0.7229435,0.583,2.02736,1.508045,1.41,0.1055045,0.09114446,0.147,0.2690339,0.3379813,0.377,0.6171715,0.7191421,0.676,0.652852,0.432102,0.484,0.2298163,0.2072268,0.349,0.4242503,0.6721539,0.316,0.6688372,0.3660568,0.556,0.579187,0.653197,0.393,0.5013643,0.7014053,0.536
0.11,0.8567325,0.7307019,0.584,1.70388,2.311762,1.46,0.1013072,0.1014963,0.135,0.2626377,0.3855457,0.409,0.4979556,0.5992347,0.571,0.6167158,0.5815751,0.444,0.2732029,0.2363707,0.439,0.4651275,0.7174296,0.363,0.5326397,0.4718418,0.39,0.664607,0.8471934,0.445,0.6079001,0.8012448,0.449
0.12,1.099743,0.7390036,0.547,2.177068,2.591031,2.08,0.1169544,0.09494634,0.167,0.2693529,0.3864353,0.493,0.5577163,0.5542272,0.643,0.5625241,0.7364694,0.386,0.3039171,0.2722496,0.421,0.4661286,0.681313,0.417,0.5578976,0.4861848,0.288,0.7611095,0.9875183,0.419,0.7527034,0.9793863,0.321
0.13,1.207575,0.6576592,0.581,2.416352,2.764292,1.94,0.1511473,0.1030657,0.159,0.2645806,0.4105714,0.526,0.694541,0.6056325,0.56,0.6269737,0.6233247,0.414,0.2961251,0.275985,0.46,0.4348086,0.6802997,0.478,0.5238169,0.5379598,0.304,0.8294301,1.125133,0.345,0.6467889,1.099856,0.293
0.133,1.168191,0.6650243,0.554,2.475106,2.748653,1.86,0.1571393,0.1088336,0.178,0.2714427,0.425561,0.47,0.7422188,0.5664821,0.542,0.6644006,0.5458292,0.406,0.2949644,0.2524337,0.477,0.4655172,0.7081054,0.51,0.5031313,0.5389673,0.324,0.8395476,1.166312,0.364,0.6428145,1.083979,0.292
0.14,1.296408,0.6780708,0.527,2.501449,2.801903,1.56,0.1482416,0.1023803,0.169,0.2775581,0.4798563,0.36,0.6840158,0.546227,0.501,0.7321684,0.5775171,0.361,0.400204,0.2822901,0.412,0.5301555,0.7538139,0.46,0.6332434,0.5570508,0.305,0.8551716,1.359099,0.416,0.6444104,1.017071,0.327
0.15,1.318286,0.6398086,0.459,2.769207,2.794818,1.81,0.1584764,0.1286511,0.155,0.3319591,0.5978233,0.382,0.794211,0.5757186,0.552,0.8247917,0.7071881,0.348,0.4084409,0.2976577,0.305,0.5330753,0.6500397,0.345,0.626622,0.6527148,0.351,1.110534,1.369941,0.469,0.7484341,1.027144,0.308
0.16,1.39455,0.658884,0.426,2.870414,2.378984,1.9,0.1589871,0.1166342,0.122,0.2919027,0.5665746,0.317,0.9032195,0.6824398,0.756,0.8109258,0.716938,0.328,0.4060981,0.3043117,0.26,0.4899721,0.5923431,0.395,0.7506909,0.6640504,0.37,1.043702,1.215925,0.421,0.7025965,1.046602,0.286
0.17,1.322583,0.6009718,0.436,2.448135,2.588299,1.87,0.1435688,0.1354036,0.116,0.3418803,0.5570043,0.304,1.026395,0.7163362,0.705,0.8624594,0.825377,0.378,0.3776498,0.2948905,0.285,0.4868728,0.6650891,0.425,0.9410591,0.7466351,0.334,1.089422,1.345059,0.359,0.833427,1.114948,0.338
0.18,1.313892,0.7167116,0.534,2.545097,3.345328,1.91,0.1254535,0.1472691,0.125,0.3272574,0.6894692,0.268,1.009002,0.6413767,0.596,0.8671892,0.8012957,0.336,0.4208748,0.2826272,0.257,0.7004571,0.7111753,0.339,1.289918,0.7352737,0.298,1.03617,1.338113,0.385,1.038686,1.194514,0.361
0.19,1.452153,0.7327629,0.454,2.478374,3.377711,1.77,0.1377151,0.1518071,0.116,0.3349146,0.7319495,0.295,0.8358955,0.6818129,0.455,0.8315983,0.5878587,0.335,0.4525014,0.3837337,0.206,0.8164415,0.7262639,0.323,1.375978,0.6437566,0.262,0.947054,1.468608,0.374,1.132305,1.319459,0.338
