Intensity Level,Direction,Ground Motion ID,story 1,story 2,story 3,story 4,story 5,story 6,story 7,story 8,story 9,story 10,story 11,story 12,story 13,story 14,story 15,story 16,story 17,story 18,story 19,story 20,story 21,story 22,story 23,story 24,story 25,story 26,story 27,story 28,story 29,story 30,story 31,story 32,story 33,story 34,story 35,story 36,story 37,story 38,story 39,story 40,story 41,story 42,story 43,story 44,story 45,story 46
DBED,Y,11,0.001053037,0.000884101,0.00069002,0.000677719,0.001283497,0.001516743,0.001699688,0.001854705,0.001919389,0.001974842,0.001901429,0.001816681,0.001672121,0.001449192,0.001367342,0.001390036,0.001696593,0.001809587,0.001881746,0.001880848,0.001832869,0.001729753,0.001616299,0.001483451,0.001468348,0.00148547,0.001477131,0.001459058,0.001428942,0.001366623,0.0014095,0.001380845,0.001273751,0.001205966,0.001435015,0.001310952,0.001454794,0.001327742,0.001334172,0.001262592,0.001197556,0.001135342,0.001050206,0.000967733,0.00087432,0.000623328
MCED,X,1,0.001673193,0.000862376,0.000871829,0.001161903,0.007618277,0.006613482,0.004935063,0.004246134,0.004243493,0.003901601,0.003560439,0.003268002,0.003053423,0.002840883,0.002639422,0.00251128,0.002861845,0.002914044,0.002858504,0.002768338,0.002646648,0.002672302,0.00277467,0.002823473,0.002873013,0.003221191,0.002871909,0.002622154,0.002533694,0.002625911,0.002670522,0.002850796,0.002846847,0.00311338,0.003635961,0.002995947,0.002749461,0.002578947,0.00235376,0.00220709,0.00202387,0.001800437,0.001578763,0.001245006,0.000998677,0.000569072
MCED,X,2,0.000710446,0.000580993,0.000541376,0.001028333,0.001885103,0.00189416,0.001653179,0.001543541,0.001600013,0.001638972,0.001695827,0.001791083,0.001843621,0.001865242,0.001853026,0.001844029,0.00191565,0.001874368,0.001791438,0.001708908,0.001621552,0.001558683,0.001481516,0.00140271,0.001343786,0.001580865,0.001611984,0.001675209,0.001675023,0.001952478,0.001982723,0.001997514,0.002034347,0.002017524,0.001975423,0.001857334,0.001696663,0.00157135,0.001449728,0.001339269,0.001436058,0.001420107,0.001329619,0.001192857,0.001057804,0.000585356
MCED,X,3,0.000742828,0.000497486,0.000460105,0.000783835,0.012558175,0.005141704,0.003614227,0.002913569,0.002587243,0.002606385,0.002636287,0.002628867,0.00259712,0.002538666,0.002460078,0.002393941,0.002456654,0.002418384,0.002385315,0.0025383,0.002704278,0.002866207,0.002995277,0.003091616,0.003139465,0.003275978,0.003226743,0.003130389,0.003028119,0.00294768,0.002822248,0.002654532,0.002516735,0.002297088,0.002395936,0.002213435,0.00203606,0.001895062,0.00187903,0.001773196,0.001689417,0.001580343,0.001443475,0.001218234,0.000807516,0.000491967
MCED,X,4,0.000769076,0.000533595,0.000449372,0.000625478,0.006344805,0.005298252,0.004382523,0.003861173,0.003543161,0.003422135,0.003183471,0.003043074,0.002864371,0.002709034,0.002561549,0.002448512,0.002533328,0.002420618,0.002254003,0.002171593,0.002121458,0.002187262,0.002251666,0.002228598,0.002193703,0.002429306,0.002362358,0.002228519,0.002172321,0.001907739,0.001802853,0.001826699,0.001819252,0.001815342,0.001901222,0.001727076,0.00173458,0.001749877,0.001630395,0.001490225,0.001422458,0.001335201,0.001139707,0.000894439,0.000752717,0.000476772
MCED,X,5,0.0006987,0.000615602,0.000703811,0.001174154,0.013171804,0.010354012,0.006747442,0.004950408,0.004692458,0.004228215,0.003881095,0.003736674,0.003813908,0.003966739,0.004087837,0.003938772,0.004070301,0.003813984,0.003540866,0.003219935,0.003365311,0.003378038,0.00339219,0.003397965,0.003389388,0.003925094,0.004166213,0.003837442,0.003684712,0.003570724,0.003171603,0.003256631,0.002947511,0.0029966,0.002754337,0.002655706,0.002514424,0.002306884,0.002175796,0.001988603,0.001514332,0.001381722,0.00116617,0.000860458,0.00071296,0.000445558
MCED,X,6,0.00091396,0.000560512,0.000520169,0.00058757,0.001154129,0.001372072,0.001397899,0.001448099,0.001434014,0.001401025,0.001354098,0.001306376,0.001262758,0.001213531,0.001161441,0.001124028,0.001204548,0.00125897,0.001343924,0.001343704,0.001420566,0.001469393,0.001480431,0.001454585,0.001383933,0.001348611,0.001390167,0.001420325,0.001412818,0.001375284,0.001316145,0.001225279,0.001107856,0.00107322,0.001119966,0.001086637,0.001064556,0.001047401,0.000957665,0.000960957,0.000927636,0.000887347,0.000824633,0.000757083,0.000639442,0.00043732
MCED,X,7,0.00037625,0.000330214,0.00038798,0.000858165,0.001158628,0.001430322,0.001440903,0.001520161,0.001711145,0.001711157,0.001545328,0.001758447,0.001571021,0.001787817,0.001606739,0.001747638,0.001853675,0.001845744,0.00188607,0.00192,0.001942687,0.001943738,0.001941714,0.001942787,0.001921576,0.001949209,0.00187636,0.00183639,0.00178917,0.001734086,0.001669175,0.001603123,0.001533242,0.001457932,0.001377856,0.001290592,0.001196953,0.001106336,0.001002086,0.00088982,0.000772336,0.000646942,0.000548591,0.000494096,0.000391797,0.000206102
MCED,X,8,0.000914124,0.000602751,0.000694319,0.000966421,0.001103641,0.001947582,0.001989214,0.001697781,0.00167139,0.00159515,0.001444725,0.001405912,0.001261277,0.001246316,0.00126648,0.001237092,0.001392037,0.00139773,0.001363683,0.001403836,0.001442921,0.001403954,0.001385944,0.001366353,0.001325797,0.001370514,0.001405475,0.001388375,0.001372741,0.001393139,0.001463912,0.001578232,0.001632686,0.001670849,0.001686053,0.001660491,0.001626844,0.001544785,0.001452375,0.001373966,0.001285158,0.001163909,0.001027975,0.001008818,0.000926799,0.00065601
MCED,X,9,0.001794741,0.000888676,0.001861138,0.001139781,0.001701856,0.001830369,0.001760687,0.00185402,0.002070886,0.002034812,0.002039958,0.002036809,0.002114542,0.002145899,0.002115119,0.002089576,0.002217618,0.002208009,0.002137724,0.002003122,0.002087467,0.00212454,0.002091838,0.002120176,0.00211712,0.002134117,0.002132899,0.002138461,0.002225433,0.002300895,0.002289452,0.002246994,0.002158286,0.002079921,0.001949783,0.001905797,0.001817808,0.001681439,0.00152571,0.001416323,0.001446144,0.001336098,0.001245892,0.001190344,0.001148952,0.000738325
MCED,X,10,0.000708543,0.000464439,0.000654404,0.001395202,0.012632837,0.004643381,0.003506459,0.003369923,0.003443063,0.003445509,0.003370217,0.003323727,0.003246252,0.003194686,0.003108996,0.003040069,0.003035835,0.003023673,0.002987138,0.002981068,0.002996528,0.002954394,0.002897326,0.002864255,0.002831793,0.002800233,0.00272016,0.002687929,0.002669395,0.002638653,0.002575239,0.002525766,0.002439459,0.002339168,0.002192976,0.002004489,0.001829612,0.001652435,0.001506583,0.001391937,0.001292137,0.00118231,0.001040815,0.000861032,0.000667203,0.000397702
MCED,X,11,0.002254043,0.001265792,0.000926506,0.001116439,0.01086923,0.004162162,0.003483125,0.003282229,0.003121211,0.002992099,0.002969763,0.002889035,0.00284128,0.002815197,0.002793711,0.002786396,0.002870997,0.002867255,0.0028138,0.002780089,0.002764255,0.002782965,0.002826988,0.002893683,0.002867599,0.002768769,0.002797371,0.002815456,0.002778787,0.002699249,0.002555957,0.002556692,0.002456111,0.002414643,0.002343507,0.002115019,0.001782866,0.00169853,0.001487285,0.001525154,0.001497299,0.001358563,0.001297749,0.001140922,0.001067766,0.000651588
MCED,Y,1,0.001787076,0.001529462,0.001527779,0.001791569,0.009036352,0.003495593,0.003307494,0.00338753,0.003323709,0.003312821,0.003330942,0.003361391,0.003325169,0.003271452,0.003215286,0.003177764,0.003263136,0.003241047,0.003158925,0.003037938,0.002610601,0.002344607,0.002364987,0.002324087,0.002253848,0.002013839,0.00194844,0.002081226,0.001975522,0.002126464,0.001968163,0.002251985,0.002456561,0.002494111,0.002626234,0.002494564,0.002493322,0.0024434,0.002320649,0.002246811,0.002111525,0.001939634,0.001746328,0.001519536,0.001265478,0.000866204
MCED,Y,2,0.000984335,0.000914438,0.001108122,0.001862046,0.010870208,0.003993247,0.003704009,0.003869049,0.003523807,0.003557764,0.00334443,0.003352841,0.003257001,0.003076118,0.003137699,0.003162251,0.003221249,0.003305178,0.003248086,0.003242833,0.00313335,0.003136623,0.003077556,0.002975849,0.002834436,0.002656448,0.002521378,0.002389428,0.002339936,0.002273934,0.002196709,0.002119518,0.002085539,0.002060693,0.002059089,0.002038196,0.001929388,0.001797966,0.001623462,0.001411779,0.001276342,0.001126221,0.000999594,0.000881334,0.000737951,0.000508733
MCED,Y,3,0.000594335,0.000592687,0.000716762,0.001153238,0.007066615,0.003940567,0.003664372,0.003648835,0.003653778,0.003583781,0.003552497,0.003469512,0.003470992,0.003384969,0.003350684,0.00330075,0.003645629,0.003779408,0.0037652,0.003682256,0.003573206,0.003522485,0.003457743,0.003386635,0.003316957,0.003202425,0.003155989,0.003044095,0.002921871,0.002829108,0.002719993,0.002616723,0.00244586,0.002278298,0.002116754,0.001954183,0.001836038,0.001742969,0.00167486,0.001582032,0.001468079,0.001332022,0.001171404,0.000979812,0.000805199,0.000630949
MCED,Y,4,0.001074462,0.001171766,0.001336828,0.001276617,0.002771456,0.003176253,0.003108234,0.003067417,0.003028758,0.002850737,0.002693077,0.002619375,0.002498522,0.002375368,0.00225095,0.002193672,0.002385183,0.002328977,0.002451968,0.002551557,0.002622952,0.002590689,0.002597931,0.002555253,0.002465201,0.002372415,0.002448503,0.002529322,0.002511057,0.002536922,0.002523244,0.002517109,0.002490666,0.002471146,0.002454447,0.00233323,0.002222939,0.002240832,0.002106354,0.001918588,0.001773558,0.001634092,0.001463063,0.001275617,0.001090153,0.000741741
MCED,Y,5,0.000798013,0.001173087,0.001735924,0.002631258,0.015213614,0.014544089,0.009103411,0.005411405,0.005071363,0.00495092,0.004823089,0.004646917,0.004550343,0.004414033,0.004249656,0.004330238,0.004435373,0.004429788,0.004469259,0.004340296,0.0041934,0.004074637,0.003814887,0.003598341,0.003384349,0.003709895,0.003800775,0.003782526,0.003612686,0.003521509,0.003353682,0.00330044,0.003159461,0.003125895,0.00292924,0.00283875,0.00272761,0.002536099,0.002286358,0.002126484,0.001874745,0.001585259,0.001376586,0.001148327,0.00092364,0.000569462
MCED,Y,6,0.000627813,0.000584713,0.000845451,0.001644926,0.002511853,0.003584759,0.003537496,0.00364171,0.003701602,0.003606822,0.00348127,0.003326305,0.0031715,0.003178653,0.003153097,0.003218541,0.003349864,0.003533667,0.003557358,0.003608773,0.003636412,0.003570795,0.003483109,0.003334678,0.003122074,0.003019919,0.002945929,0.002949609,0.002901337,0.002769962,0.002693043,0.002608459,0.002551459,0.002528764,0.002459634,0.002371672,0.002269836,0.002090901,0.00188436,0.001699279,0.001475363,0.001267395,0.001070216,0.000871942,0.000673283,0.000450113
MCED,Y,7,0.000563954,0.000448324,0.000523325,0.00072273,0.001867691,0.002247618,0.002338111,0.00240441,0.002396205,0.002340742,0.002266526,0.002165945,0.002041046,0.001921005,0.001794823,0.001704747,0.001858749,0.001914274,0.001940225,0.001947537,0.001990625,0.002137519,0.002294536,0.00236281,0.002395908,0.002407625,0.002384395,0.002322952,0.002269976,0.002204629,0.002144259,0.002085492,0.002046988,0.002007173,0.0019692,0.001920403,0.001879587,0.001834472,0.001762371,0.001660932,0.001525874,0.001367817,0.001192047,0.000973966,0.000774972,0.000512435
MCED,Y,8,0.00116193,0.001189205,0.001116107,0.00155397,0.002463919,0.00390445,0.003846499,0.003890319,0.004088142,0.004111854,0.004277635,0.004223407,0.004247951,0.004155492,0.004121878,0.004073891,0.00428507,0.004304081,0.004254794,0.004238982,0.004194842,0.004151445,0.004079988,0.003967512,0.003845267,0.003715818,0.003572477,0.00343697,0.003245583,0.003066648,0.002928773,0.00277427,0.002663498,0.002563642,0.002427008,0.002320476,0.002190704,0.002042065,0.001739082,0.001591161,0.001371977,0.001199868,0.001069094,0.000913267,0.000755224,0.000488701
MCED,Y,9,0.002168179,0.001644639,0.001536927,0.001255423,0.004784714,0.004983079,0.004638888,0.004614454,0.004469733,0.004282178,0.004142454,0.00391905,0.003712063,0.00351289,0.003593491,0.003624079,0.003902148,0.003806656,0.003656069,0.003483954,0.003334194,0.003179965,0.003318626,0.003533834,0.003518081,0.003314697,0.003024659,0.002754439,0.002568276,0.002455999,0.002575994,0.002796257,0.002931668,0.002958946,0.003118758,0.003144406,0.003063446,0.003052705,0.002984116,0.002824867,0.002696718,0.002537411,0.002295241,0.002008396,0.001757006,0.001210379
MCED,Y,10,0.000514707,0.000768512,0.001195644,0.004562128,0.012733279,0.003857815,0.003129398,0.003098776,0.002889063,0.00274154,0.002615595,0.002518677,0.002483716,0.002430793,0.002402628,0.00243568,0.002598363,0.002695488,0.002736699,0.002708701,0.002598192,0.002464799,0.002282417,0.002111114,0.002268951,0.002331388,0.002605236,0.002626919,0.002565692,0.002505317,0.002374005,0.002239061,0.002048561,0.001970981,0.002054279,0.002069194,0.002098986,0.002041084,0.001957014,0.001850209,0.001706681,0.00155011,0.001393382,0.001162386,0.000980514,0.000701549
MCED,Y,11,0.001215114,0.001106283,0.001148163,0.001701322,0.002799502,0.002589767,0.002508552,0.002484491,0.002584709,0.002621706,0.002618805,0.002571651,0.002555966,0.002480715,0.002466685,0.002497969,0.002714334,0.002696109,0.002641015,0.002639492,0.002688759,0.002705185,0.002632942,0.002508675,0.002305533,0.002043361,0.001978091,0.00191595,0.001845737,0.00181039,0.001834531,0.00180137,0.002107217,0.002240868,0.002228316,0.002161396,0.002023814,0.001826584,0.001863997,0.001634523,0.001485632,0.001434008,0.001464057,0.001433757,0.001358587,0.001027852
