Intensity Level,Direction,Ground Motion ID,story 1,story 2,story 3,story 4,story 5,story 6,story 7,story 8,story 9,story 10,story 11,story 12,story 13,story 14,story 15,story 16,story 17,story 18,story 19,story 20,story 21,story 22,story 23,story 24,story 25,story 26,story 27,story 28,story 29,story 30,story 31,story 32,story 33,story 34,story 35,story 36,story 37,story 38,story 39,story 40,story 41,story 42,story 43,story 44,story 45,story 46
DBEB,X,11,0.000441176,0.001196715,0.001602684,0.002109571,0.004138814,0.003452763,0.00370636,0.003963242,0.004158292,0.004325479,0.004460991,0.004564954,0.004642426,0.004696725,0.004826306,0.004962512,0.005170645,0.005320631,0.00544085,0.005650291,0.005905489,0.006144508,0.006368032,0.006576814,0.006767441,0.006958312,0.007145711,0.007320567,0.007476146,0.007618385,0.007751005,0.007912984,0.008050034,0.008162229,0.008260519,0.008328799,0.008364488,0.008384609,0.008381252,0.008371766,0.008362919,0.008345497,0.008322324,0.008285469,0.008234226,0.008163783
DBEB,Y,1,0.000138296,0.000519656,0.000826419,0.001322635,0.002258462,0.002450896,0.002691495,0.00290588,0.003070545,0.003223758,0.003364862,0.003492789,0.003609169,0.00371402,0.003814085,0.003917761,0.004099888,0.004241979,0.004383341,0.004499685,0.004596158,0.004676271,0.004741662,0.004793348,0.004851346,0.004920876,0.005053841,0.005177179,0.005286662,0.005384392,0.005471696,0.005546343,0.005611264,0.005669055,0.005721217,0.005761145,0.005786016,0.005800034,0.005830598,0.00584899,0.005855815,0.005853126,0.005841229,0.005820635,0.005795279,0.005751527
DBEB,Y,2,0.000296623,0.000690238,0.001052915,0.001403048,0.002321972,0.002571925,0.002828949,0.003038895,0.003191378,0.003320526,0.003426261,0.003539372,0.003643885,0.003760407,0.003890692,0.004022493,0.004227907,0.004406854,0.004551319,0.004672857,0.004777604,0.004866841,0.004941628,0.005000094,0.005045333,0.005074762,0.005099048,0.005229577,0.005371751,0.005498444,0.005609058,0.005705255,0.005787785,0.005856765,0.005918765,0.005964664,0.005988244,0.005996603,0.006020601,0.006053363,0.006077723,0.006087109,0.006083852,0.00606546,0.006035025,0.005979244
DBEB,Y,3,0.000201513,0.0008062,0.001080982,0.001928243,0.00338569,0.003589807,0.003802315,0.003982954,0.004138988,0.00463563,0.004741615,0.004839336,0.004928346,0.005015312,0.005095956,0.005177387,0.005305005,0.005418012,0.005486998,0.005545124,0.005590094,0.00562549,0.005670141,0.00577039,0.005871631,0.005961286,0.006099277,0.006225492,0.006335906,0.006432897,0.006519076,0.00659264,0.006655936,0.006708638,0.006752444,0.006784087,0.006801138,0.006809582,0.006833511,0.006848814,0.006856081,0.006856761,0.006848903,0.006838471,0.006825951,0.006805444
DBEB,Y,4,0.000226533,0.000902968,0.001186204,0.001596195,0.002823197,0.003312562,0.003617169,0.003865755,0.004053126,0.004219614,0.004365214,0.004488204,0.004600082,0.004701898,0.004792368,0.00488534,0.005059752,0.005196279,0.005289335,0.00535469,0.005413282,0.005451714,0.005471455,0.005479431,0.005475266,0.005462481,0.005443702,0.005466964,0.005562624,0.005650105,0.005729754,0.005801843,0.005865797,0.005922935,0.005978723,0.006025805,0.006055703,0.00607811,0.006118542,0.006140823,0.006151582,0.006147183,0.006130522,0.006101367,0.006063988,0.006010479
DBEB,Y,5,0.000829149,0.002220311,0.003027621,0.003536826,0.004841523,0.004827719,0.005152267,0.005465575,0.005752122,0.006425578,0.00682426,0.006956536,0.007025591,0.007032333,0.007010551,0.006968356,0.006961863,0.006798126,0.006575487,0.006669129,0.006851764,0.006920467,0.006895486,0.006780182,0.006625829,0.006614559,0.006575702,0.006521579,0.00664151,0.006744653,0.006790601,0.006769085,0.006908973,0.007025079,0.007141809,0.007264308,0.007368152,0.007427121,0.007593473,0.008104586,0.008382384,0.008438085,0.008465326,0.008443285,0.008426089,0.008399107
DBEB,Y,6,0.000717172,0.001674043,0.002298582,0.002716649,0.003215153,0.003202831,0.003333309,0.003401642,0.003524333,0.003634114,0.003710187,0.003776947,0.003865209,0.003948816,0.004018944,0.004079288,0.004254602,0.00450341,0.004724277,0.004888493,0.005028248,0.005131656,0.005191273,0.005222366,0.005204074,0.005161669,0.005156339,0.00514196,0.005135849,0.005096857,0.004976161,0.004892253,0.004727519,0.004693158,0.005081621,0.00536245,0.00557633,0.005855263,0.00612594,0.006530871,0.006902341,0.006986551,0.006966023,0.006914873,0.006846681,0.006755888
DBEB,Y,7,0.000529412,0.001242215,0.001993261,0.002389326,0.003398267,0.003815653,0.00412497,0.004369477,0.004519262,0.00462622,0.004684995,0.00470581,0.004697765,0.004673477,0.004639217,0.004614605,0.004697989,0.00471287,0.004696489,0.004685041,0.004781537,0.004852239,0.004906081,0.004944203,0.004970279,0.004987493,0.005096614,0.005253742,0.005440653,0.005623598,0.005802638,0.00596333,0.006100053,0.006217878,0.006321809,0.006402132,0.006450378,0.006472179,0.006498495,0.006494201,0.006473876,0.006431118,0.006370791,0.006329866,0.006280113,0.006201041
DBEB,Y,8,0.000366708,0.001079217,0.001564951,0.002104881,0.003126215,0.003638468,0.004007975,0.004263743,0.004439639,0.004823364,0.004969914,0.005096859,0.005206076,0.005305625,0.00539515,0.0054942,0.005682984,0.005827537,0.005905654,0.005940848,0.005942417,0.005920091,0.005878535,0.005822754,0.005758331,0.00568949,0.005700486,0.005770604,0.005827446,0.005875689,0.005964388,0.006070067,0.006151838,0.006207239,0.006242053,0.006256371,0.006282015,0.0063235,0.006416224,0.006502032,0.006570974,0.006611317,0.006620647,0.006591147,0.006525897,0.006409751
DBEB,Y,9,0.000388609,0.001218468,0.001920763,0.002242341,0.002624762,0.002804203,0.003027006,0.003199123,0.00332253,0.00341896,0.003496949,0.003558415,0.003620526,0.003683377,0.003740447,0.003802961,0.003904893,0.003998794,0.004060455,0.004096047,0.004111622,0.004109592,0.004124472,0.004180462,0.004235799,0.004286609,0.004368219,0.004434171,0.004487309,0.004527178,0.004558815,0.004590774,0.004693956,0.004790666,0.004878543,0.004949239,0.004998563,0.00503011,0.005068621,0.005083355,0.005078809,0.005052467,0.005006365,0.004939228,0.004857696,0.004750966
