Intensity Level,Direction,Ground Motion ID,story 1,story 2,story 3,story 4,story 5,story 6,story 7,story 8,story 9,story 10,story 11,story 12,story 13,story 14,story 15,story 16,story 17,story 18,story 19,story 20,story 21,story 22,story 23,story 24,story 25,story 26,story 27,story 28,story 29,story 30,story 31,story 32,story 33,story 34,story 35,story 36,story 37,story 38,story 39,story 40,story 41,story 42,story 43,story 44,story 45,story 46
DBED,Y,11,0.001053037,0.001135946,0.001263474,0.001406161,0.002887611,0.002766816,0.00310313,0.003363048,0.003488452,0.003575509,0.003578609,0.003520965,0.003389584,0.003172718,0.003150067,0.003165612,0.003568889,0.003798071,0.003933036,0.003975437,0.003940503,0.003838173,0.00368352,0.003474231,0.003553821,0.003601279,0.003609687,0.003620853,0.003753579,0.003858075,0.003913947,0.003913927,0.003891934,0.003845989,0.003819743,0.003887735,0.003908113,0.004005815,0.004080033,0.004124932,0.004142518,0.004100937,0.004010454,0.003904154,0.00378193,0.003567008
MCED,X,1,0.001673193,0.001672077,0.002282686,0.003068231,0.010154687,0.009396113,0.007998785,0.008062882,0.008164502,0.008239595,0.008220205,0.008165147,0.008075164,0.008336084,0.008553566,0.008750522,0.009108826,0.009153702,0.009189913,0.0093874,0.009713646,0.010015613,0.010256831,0.010400462,0.010498855,0.010864014,0.011009622,0.011209055,0.01180789,0.012431823,0.012895479,0.013415243,0.01369878,0.013811771,0.01389655,0.01395194,0.013921462,0.014072687,0.013901504,0.01379273,0.013682347,0.013523113,0.013324848,0.013043646,0.012823881,0.012489311
MCED,X,2,0.000710446,0.001120165,0.001466496,0.002258735,0.005644538,0.005123836,0.004844201,0.00455483,0.004858418,0.005344613,0.005410645,0.005551104,0.00556923,0.005406949,0.005368541,0.005539457,0.006185519,0.006630288,0.007002491,0.007254331,0.007456292,0.00754239,0.007567018,0.007906851,0.008372953,0.008886338,0.009186044,0.009415209,0.009510392,0.009595108,0.009593919,0.00956475,0.009958321,0.010209541,0.010528009,0.010726755,0.01090736,0.011098923,0.011100465,0.011023079,0.010932458,0.010835019,0.010707498,0.01054273,0.010387062,0.010083818
MCED,X,3,0.000750309,0.001005792,0.001460591,0.002584637,0.012698235,0.012554903,0.010852998,0.010686631,0.01063353,0.010528009,0.010416686,0.010282651,0.010114039,0.009907892,0.009717854,0.009539837,0.009487057,0.009232987,0.008921411,0.008653269,0.008944219,0.009649872,0.010283813,0.010822068,0.011250938,0.011764826,0.012105147,0.012338045,0.012494268,0.012590459,0.012640586,0.012627726,0.012639876,0.012542705,0.012493085,0.012560656,0.012418755,0.012253056,0.01203781,0.011812381,0.011591148,0.011387795,0.011187591,0.010979161,0.010779961,0.010526283
MCED,X,4,0.000867339,0.001504391,0.002164737,0.002980598,0.008738919,0.008741954,0.008292686,0.008117906,0.008113361,0.008257074,0.008224743,0.008238292,0.008198177,0.008262799,0.008475911,0.008751031,0.008991834,0.009377675,0.009813159,0.010129914,0.010437694,0.010762367,0.011131577,0.011376686,0.011533355,0.011884296,0.011892138,0.011828228,0.011797369,0.011557593,0.011461222,0.011584163,0.011589696,0.011749281,0.011819505,0.01163147,0.011558606,0.011559829,0.011548111,0.011433139,0.011362353,0.011257093,0.011113736,0.010801962,0.010655466,0.010385716
MCED,X,5,0.0006987,0.001334178,0.001832579,0.003140805,0.017387743,0.022513913,0.020125156,0.018989021,0.019101023,0.019177389,0.019226973,0.019391003,0.019651263,0.019983417,0.0202423,0.020204762,0.020369467,0.02012875,0.019977192,0.01975252,0.019560473,0.019490217,0.019419693,0.019292684,0.01907343,0.018378722,0.018182395,0.017965958,0.017936182,0.017939048,0.01823384,0.017968334,0.01808407,0.017812596,0.017845809,0.0177386,0.017589899,0.01740177,0.017264026,0.017078808,0.016761022,0.016563942,0.016421614,0.0162612,0.016099515,0.015870936
MCED,X,6,0.00091396,0.00115737,0.001526274,0.002062603,0.004303884,0.003924283,0.004055089,0.004232465,0.004344426,0.004437626,0.0044875,0.004519862,0.004540601,0.004580737,0.004622771,0.004657763,0.004812461,0.00510769,0.005304475,0.005402562,0.005424848,0.005392537,0.005319347,0.005211872,0.005261731,0.005453406,0.005587693,0.00567346,0.005723348,0.005960868,0.006138779,0.006299489,0.006435726,0.006540279,0.006608244,0.00666847,0.006693027,0.006693022,0.006675831,0.006629039,0.006572922,0.006504718,0.006426433,0.006348561,0.006273665,0.006154255
MCED,X,7,0.000411753,0.000946047,0.001706658,0.002940079,0.006105649,0.006159967,0.006485726,0.006844549,0.0073532,0.007702276,0.007902992,0.008266157,0.008455173,0.008738237,0.008904136,0.009210447,0.009577508,0.009815948,0.010020805,0.01026262,0.010520271,0.010744073,0.010934757,0.011107879,0.011240756,0.011400238,0.011471142,0.011506101,0.01152279,0.011521311,0.011500389,0.011464015,0.011412765,0.011349327,0.011278701,0.01119184,0.01109135,0.010990824,0.010868547,0.010732759,0.010587517,0.01043375,0.010276618,0.010115734,0.009963004,0.009795454
MCED,X,8,0.000914124,0.001069475,0.001675227,0.002425831,0.006070084,0.006384923,0.006729315,0.006649697,0.006829671,0.007066574,0.007236877,0.007369556,0.007456276,0.007576727,0.007752134,0.007941792,0.008280378,0.008492101,0.00864792,0.008778883,0.008894734,0.008973068,0.009038471,0.009108354,0.009162727,0.009210031,0.009201588,0.009203828,0.00921925,0.00923032,0.009218605,0.009210006,0.009184924,0.009155013,0.00910737,0.009063711,0.008998965,0.008951634,0.008831755,0.008733709,0.008642399,0.008479806,0.008402573,0.00831211,0.008244272,0.008167728
MCED,X,9,0.001794741,0.002150813,0.002411762,0.003045056,0.005232536,0.005310946,0.005793886,0.00611758,0.006367431,0.006687244,0.006873681,0.006918965,0.006996657,0.007171343,0.007315831,0.007459535,0.007930182,0.008054473,0.008125002,0.00812828,0.008100735,0.008046668,0.008081012,0.008157381,0.008257403,0.008185574,0.008459076,0.008634819,0.008758169,0.008966062,0.009106941,0.00929024,0.009385613,0.009446629,0.009495138,0.009481279,0.009464728,0.009420653,0.009328616,0.009202722,0.009133422,0.008939893,0.00881526,0.008691624,0.008579133,0.008386085
