Intensity Level,Direction,Ground Motion ID,floor 1,floor 2,floor 3,floor 4,floor 5,floor 6,floor 7,floor 8,floor 9,floor 10,floor 11,floor 12,floor 13,floor 14,floor 15,floor 16,floor 17,floor 18,floor 19,floor 20,floor 21,floor 22,floor 23,floor 24,floor 25,floor 26,floor 27,floor 28,floor 29,floor 30,floor 31,floor 32,floor 33,floor 34,floor 35,floor 36,floor 37,floor 38,floor 39,floor 40,floor 41,floor 42,floor 43,floor 44,floor 45,floor 46,floor 47
DBEB,X,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBEB,X,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBEB,X,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBEB,X,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBEB,X,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBEB,X,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBEB,X,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBEB,X,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBEB,X,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBEB,X,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBEB,X,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBEB,Y,1,0,0.000532367,0.000768012,0.001050609,0.001329509,0.002091738,0.002517952,0.002759837,0.002894937,0.002950554,0.002964208,0.002954965,0.002935866,0.002918757,0.002915251,0.002941813,0.003029198,0.003283081,0.003419813,0.00347353,0.003479865,0.003493305,0.003480318,0.003444187,0.003389826,0.003320551,0.003241689,0.003137216,0.003025958,0.002904345,0.002780488,0.002651765,0.00252207,0.002397005,0.002313731,0.002334864,0.002311441,0.002258625,0.002185406,0.002087455,0.001956686,0.001790412,0.001586979,0.001347103,0.001074548,0.000784332,0
DBEB,Y,2,0,0.000939509,0.001569392,0.001979281,0.002192785,0.002878701,0.003279374,0.003473176,0.003601107,0.003658997,0.003651378,0.003596649,0.003509957,0.003402559,0.003291166,0.003197047,0.003189661,0.003459324,0.003614933,0.003712252,0.003747043,0.003759442,0.003774918,0.003804394,0.003811762,0.00380156,0.003778515,0.003739909,0.003694046,0.003620375,0.003504768,0.003349172,0.003156627,0.002937525,0.002710127,0.00272534,0.00288304,0.002978311,0.002996526,0.002988086,0.00291217,0.002744866,0.002503272,0.002183518,0.001784141,0.00131656,0
DBEB,Y,3,0,0.000855205,0.001164743,0.001636904,0.002623474,0.003176705,0.003431337,0.003586832,0.003669816,0.003681444,0.003648442,0.003590585,0.003518964,0.003446123,0.003403513,0.003453259,0.003557707,0.00380984,0.003956467,0.004019645,0.004030604,0.004017893,0.003975761,0.003910281,0.003829942,0.003788382,0.003741578,0.003708806,0.003674062,0.003613384,0.003533076,0.003440122,0.003341724,0.003244385,0.003150534,0.003076514,0.002955306,0.002811212,0.002642634,0.002463928,0.002278075,0.002070989,0.001862774,0.001655542,0.001430653,0.001186862,0
