Intensity Level,Direction,Ground Motion ID,floor 1,floor 2,floor 3,floor 4,floor 5,floor 6,floor 7,floor 8,floor 9,floor 10,floor 11,floor 12,floor 13,floor 14,floor 15,floor 16,floor 17,floor 18,floor 19,floor 20,floor 21,floor 22,floor 23,floor 24,floor 25,floor 26,floor 27,floor 28,floor 29,floor 30,floor 31,floor 32,floor 33,floor 34,floor 35,floor 36,floor 37,floor 38,floor 39,floor 40,floor 41,floor 42,floor 43,floor 44,floor 45,floor 46,floor 47
DBEB,X,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBEB,X,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBEB,X,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBEB,X,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBEB,X,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBEB,X,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBEB,X,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBEB,X,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBEB,X,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBEB,X,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBEB,X,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBEB,Y,1,0,0,0,0,0.001416372,0.002008242,0.002353457,0.002567101,0.002706221,0.002828951,0.002923446,0.003001878,0.003079876,0.00317171,0.003302192,0.003495145,0.003886581,0.004128872,0.004271304,0.004344671,0.004367648,0.004352407,0.004307785,0.004242418,0.004167634,0.004067944,0.00396167,0.003843909,0.003714314,0.003573421,0.003424095,0.003270815,0.003117142,0.00297441,0.002942253,0.002872947,0.002781626,0.002674227,0.002540099,0.002362736,0.002140172,0.001868678,0.001546623,0.00116493,0.000696036,0,0
DBEB,Y,2,0,0,0,0,0.001995973,0.002810447,0.003256151,0.003478179,0.003550295,0.003523961,0.003430762,0.003343925,0.003275894,0.003262211,0.003310856,0.003449362,0.003773775,0.003941055,0.003993985,0.003958756,0.003853527,0.003707497,0.003695318,0.003735064,0.003741782,0.003717286,0.003675078,0.003605342,0.003522957,0.003395896,0.003344463,0.00328193,0.003201264,0.003259255,0.003389188,0.00349113,0.003531774,0.003481658,0.003340527,0.003115917,0.002806749,0.002441723,0.001993196,0.001470291,0.000849652,0,0
DBEB,Y,3,0,0,0,0,0.001693899,0.002204308,0.002482497,0.002611741,0.002749816,0.002831139,0.002872599,0.002887955,0.00288821,0.002887566,0.002913077,0.002996354,0.00319489,0.003240904,0.003189335,0.003131239,0.003065567,0.003014707,0.003001727,0.002980092,0.002975599,0.002978582,0.003003221,0.003002765,0.002977754,0.002931226,0.002901322,0.002856862,0.002808,0.002760552,0.002728524,0.002636566,0.002504326,0.002340821,0.002152523,0.001950829,0.001723011,0.00145809,0.001178398,0.000882115,0.000525958,0,0
