Intensity Level,Direction,Ground Motion ID,floor 1,floor 2,floor 3,floor 4,floor 5,floor 6,floor 7,floor 8,floor 9,floor 10,floor 11,floor 12,floor 13,floor 14,floor 15,floor 16,floor 17,floor 18,floor 19,floor 20,floor 21,floor 22,floor 23,floor 24,floor 25,floor 26,floor 27,floor 28,floor 29,floor 30,floor 31,floor 32,floor 33,floor 34,floor 35,floor 36,floor 37,floor 38,floor 39,floor 40,floor 41,floor 42,floor 43,floor 44,floor 45,floor 46,floor 47
DBEB,X,11,0,0,0,0,0.002586624,0.003576289,0.004226287,0.004736512,0.00508852,0.005318922,0.005462549,0.00554781,0.005592217,0.005615182,0.005661375,0.005721717,0.006003201,0.006139671,0.006202848,0.006535658,0.006746331,0.006876427,0.006949104,0.007056891,0.007094805,0.007096799,0.006956903,0.006721767,0.006389009,0.006049182,0.005748958,0.005426248,0.005248755,0.005071739,0.004980894,0.004880491,0.00476162,0.004783127,0.004709159,0.00455852,0.004290141,0.003885427,0.003364834,0.002950172,0.001882546,3.24E-14,0
DBEB,Y,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBEB,Y,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBEB,Y,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBEB,Y,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBEB,Y,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBEB,Y,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBEB,Y,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBEB,Y,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBEB,Y,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBEB,Y,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBEB,Y,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCEB,X,1,0,0,0,0,0.002160296,0.0030396,0.003586901,0.003968124,0.004200087,0.004333596,0.004397898,0.004415715,0.004433247,0.00454858,0.004677189,0.004820009,0.005147367,0.0052443,0.005243482,0.005374328,0.005531818,0.005639372,0.00570751,0.005742449,0.005744618,0.005753319,0.005681123,0.005559204,0.005389542,0.005182281,0.004946431,0.004714159,0.00456979,0.004490203,0.004475923,0.004340388,0.004141377,0.003875078,0.003540526,0.003280913,0.002953475,0.002541327,0.002039337,0.001471005,0.000858163,3.31E-14,0
MCEB,X,2,0,0,0,0,0.002431199,0.003254164,0.003758881,0.004135033,0.004467236,0.004678569,0.004806886,0.004872885,0.004981895,0.005088729,0.005219568,0.005431084,0.005933286,0.006147555,0.006247592,0.00629226,0.006205416,0.006161115,0.006211029,0.006331881,0.006361197,0.006408321,0.006315216,0.006127558,0.005974443,0.005840268,0.005698915,0.005550567,0.005393889,0.005285893,0.005146391,0.004854182,0.004693213,0.004443075,0.004137232,0.003852472,0.003482523,0.003036857,0.002495793,0.001827144,0.001014404,4.40E-14,0
MCEB,X,3,0,0,0,0,0.002530439,0.003515894,0.004140796,0.004555652,0.004783418,0.004886325,0.004906186,0.004853756,0.004748018,0.004605798,0.004526542,0.004455234,0.00449026,0.004357553,0.004171035,0.004029802,0.003929049,0.003919965,0.003880861,0.003779308,0.003855229,0.004035568,0.004218615,0.004344749,0.004561203,0.004725258,0.004843528,0.004914719,0.004940666,0.004926464,0.00493793,0.004833382,0.00467293,0.004450869,0.004194576,0.003761863,0.003353171,0.00286985,0.002332365,0.001701401,0.000946525,3.37E-14,0
MCEB,X,4,0,0,0,0,0.002044396,0.00267053,0.002987188,0.003183706,0.003305368,0.003341957,0.003348675,0.003331381,0.003308194,0.003290799,0.003306886,0.003339248,0.003537535,0.003608462,0.003615651,0.00368245,0.003733426,0.003682453,0.003534107,0.003371038,0.003370462,0.003436262,0.003475071,0.003401303,0.003363003,0.003379769,0.003374162,0.003379271,0.003399787,0.003376331,0.00351049,0.003523285,0.003445779,0.003323275,0.003142768,0.003113674,0.003017905,0.002763843,0.002333306,0.001740129,0.001003686,3.05E-14,0
