Intensity Level,Direction,Ground Motion ID,story 1,story 2,story 3,story 4,story 5,story 6,story 7,story 8,story 9,story 10,story 11,story 12,story 13,story 14,story 15,story 16,story 17,story 18,story 19,story 20,story 21,story 22,story 23,story 24,story 25,story 26,story 27,story 28,story 29,story 30,story 31,story 32,story 33,story 34,story 35,story 36,story 37,story 38,story 39,story 40,story 41,story 42,story 43,story 44
DBEB,X,11,0.000275481,0.000519886,0.000478674,0.000806726,0.00210484,0.00316912,0.0036525,0.00394998,0.00407731,0.00420237,0.0045798,0.00491872,0.00507068,0.00506942,0.00519299,0.00543974,0.00548511,0.00516021,0.00463774,0.00470242,0.00474258,0.00468689,0.0043671,0.00406086,0.00434313,0.00475819,0.00529723,0.00575205,0.00609216,0.00599091,0.00551453,0.0054728,0.00564104,0.00546495,0.00477073,0.00380085,0.00369651,0.00362013,0.00372998,0.00385051,0.00391369,0.00403338,0.00317758,0.00257731
DBEB,Y,1,6.64E-05,0.000203134,0.000234388,0.000357478,0.00103002,0.00145955,0.00161176,0.00104419,0.0010451,0.00171428,0.00188119,0.00185892,0.00185609,0.00169809,0.0016151,0.00119151,0.00121195,0.00235253,0.00220973,0.00214792,0.0021682,0.00189577,0.00228287,0.00136808,0.00141133,0.00265991,0.00298273,0.00319982,0.00319287,0.00250344,0.00313992,0.00221344,0.002373,0.00400127,0.0040569,0.00389657,0.00400356,0.00281902,0.00267991,0.00273711,0.00245393,0.00446082,0.00328621,0.00160731
DBEB,Y,2,1.01E-04,0.000322139,0.000331448,0.000592921,0.00203456,0.00326484,0.00327306,0.00198795,0.00190945,0.00339859,0.0030147,0.0025553,0.00267454,0.00211711,0.00225777,0.00157803,0.00156475,0.00327419,0.00338927,0.00324706,0.00316283,0.0023675,0.00308219,0.00247456,0.00258525,0.0041254,0.00522854,0.00520413,0.00449979,0.0033627,0.00366646,0.00433331,0.00361483,0.00608555,0.00580755,0.00640053,0.00546627,0.00407116,0.00464308,0.0070674,0.00638961,0.00697259,0.00473613,0.00252589
DBEB,Y,3,0.000102006,0.000332679,0.000427741,0.000723892,0.00229501,0.00388514,0.00411224,0.00254214,0.00223343,0.00435251,0.00399476,0.00354744,0.00336434,0.00276395,0.00263696,0.00213569,0.00204865,0.00386832,0.00437179,0.00402216,0.00379734,0.00328015,0.00360536,0.00230027,0.00235784,0.00538353,0.00649687,0.00594262,0.0056441,0.00471431,0.00508617,0.00620489,0.00570994,0.00726508,0.00601673,0.00572519,0.00673189,0.00504387,0.00508466,0.00680777,0.00635879,0.00724067,0.00519463,0.00343956
DBEB,Y,4,8.86E-05,0.000267741,0.000341002,0.000566865,0.00190198,0.00335689,0.00374419,0.00232782,0.00225281,0.00408724,0.00433639,0.0038698,0.00403283,0.00352148,0.00387745,0.00277986,0.00265622,0.00585527,0.00662423,0.00607211,0.00571117,0.00471367,0.00439354,0.00356211,0.00281512,0.00647338,0.00677253,0.00537908,0.00529252,0.00407957,0.00387333,0.00371807,0.0033813,0.00554607,0.00529733,0.00471188,0.00490659,0.00404599,0.0036102,0.00412573,0.00357062,0.00557527,0.00419542,0.00280643
DBEB,Y,5,9.67E-05,0.000303829,0.000405851,0.000608333,0.00186664,0.00322765,0.00329157,0.0025277,0.00214079,0.0040596,0.00428658,0.00368554,0.00364717,0.00353319,0.00340505,0.00247462,0.00228738,0.00503768,0.00553239,0.00444753,0.00427156,0.0038198,0.00337447,0.00267912,0.00252303,0.00526151,0.00537218,0.00462257,0.00462239,0.00378561,0.00349874,0.00366375,0.00318274,0.00525576,0.00496436,0.00418018,0.00449605,0.00355548,0.00282488,0.00304819,0.00281068,0.00480255,0.00374185,0.00217896
DBEB,Y,6,2.83E-04,0.000934304,0.000749359,0.00140042,0.00514444,0.0033049,0.00607303,0.00356051,0.0036995,0.00903588,0.00380239,0.00751554,0.00643766,0.0032385,0.00479814,0.00304329,0.00326153,0.00658961,0.00555553,0.00855623,0.00867458,0.00302741,0.00507326,0.00275563,0.00283973,0.00558477,0.00561377,0.0078444,0.00808398,0.00357292,0.00614967,0.00276028,0.00302479,0.00624661,0.00346462,0.00737092,0.00870804,0.00295302,0.00655164,0.00454506,0.00506481,0.00686188,0.00401209,0.00337397
DBEB,Y,7,2.75E-04,0.000858914,0.000676583,0.000982822,0.00317745,0.00279041,0.00340901,0.0019743,0.0022382,0.00408745,0.00337085,0.00491336,0.00501255,0.00215164,0.00300469,0.00209185,0.00217178,0.00394259,0.00382547,0.00486108,0.00498522,0.00182285,0.00375472,0.00238179,0.00240883,0.00577105,0.00475508,0.00724509,0.0070327,0.00226236,0.00530446,0.0034309,0.00383086,0.00631251,0.00387111,0.00618616,0.00651264,0.00240264,0.00636251,0.00457849,0.00666985,0.00745299,0.00442359,0.00263771
DBEB,Y,8,2.05E-04,0.000718374,0.00061652,0.00102079,0.00365006,0.00311251,0.0038146,0.00220575,0.00205093,0.00432302,0.00389189,0.00479436,0.0040618,0.00310253,0.00265293,0.00184779,0.0018854,0.00370496,0.00362096,0.00485905,0.00411087,0.00287113,0.00398175,0.00262452,0.00253934,0.00538995,0.00658942,0.00642414,0.00607971,0.00405563,0.00418623,0.00344315,0.00318291,0.00519875,0.00479907,0.00594237,0.00526245,0.00380371,0.00443195,0.00556852,0.00570074,0.00615773,0.00409655,0.0023218
DBEB,Y,9,1.65E-04,0.00059636,0.00042612,0.000912393,0.00238358,0.0028139,0.00331178,0.00214255,0.0022523,0.00340779,0.00290782,0.00307975,0.00262051,0.00226404,0.00234593,0.0016155,0.00147628,0.00327369,0.00306737,0.00330166,0.0033444,0.00193199,0.00294395,0.00231029,0.00260512,0.00351892,0.00397273,0.00453127,0.00448852,0.00316371,0.00377832,0.00350273,0.00348967,0.00609772,0.00607712,0.0065585,0.00530822,0.00461896,0.00468738,0.00698518,0.00610368,0.0072733,0.00519741,0.00233369
DBEB,Y,10,2.10E-04,0.000726247,0.000521602,0.000815316,0.00245762,0.00379276,0.00387556,0.00265584,0.00235423,0.00481262,0.00476501,0.00439379,0.00410796,0.00374507,0.00371452,0.00290152,0.00252863,0.00543047,0.00533409,0.00468252,0.00457455,0.00411674,0.00401338,0.00288696,0.00259358,0.00540139,0.00581169,0.00505012,0.00530189,0.00396553,0.00373792,0.00439383,0.00408834,0.00570298,0.00496575,0.00465503,0.00498809,0.00405916,0.00352612,0.00383822,0.00364735,0.00511014,0.00416164,0.00260377
DBEB,Y,11,0.000199879,0.000633121,0.000583659,0.000978361,0.0031328,0.00338894,0.00403794,0.00214795,0.00242378,0.00496952,0.00359067,0.00507358,0.00423246,0.00266047,0.00331555,0.00194725,0.00168952,0.00449342,0.00413923,0.00553837,0.00513742,0.00237605,0.00365425,0.00249065,0.00242221,0.00454728,0.00490454,0.00593965,0.00630602,0.00287824,0.00460187,0.00286317,0.00295825,0.00527137,0.00479479,0.00532647,0.00596908,0.00297876,0.00446205,0.0060337,0.00558092,0.00619973,0.0039785,0.00217187
