Intensity Level,Direction,Ground Motion ID,story 1,story 2,story 3,story 4,story 5,story 6,story 7,story 8,story 9,story 10,story 11,story 12,story 13,story 14,story 15,story 16,story 17,story 18,story 19,story 20,story 21,story 22,story 23,story 24,story 25,story 26,story 27,story 28,story 29,story 30,story 31,story 32,story 33,story 34,story 35,story 36,story 37,story 38,story 39,story 40,story 41,story 42,story 43,story 44
DBEB,X,11,3.67E-06,3.67E-06,3.67E-06,3.67E-06,3.67E-06,3.67E-06,3.67E-06,3.67E-06,3.67E-06,3.67E-06,3.67E-06,3.67E-06,3.67E-06,3.67E-06,3.67E-06,3.67E-06,3.67E-06,3.67E-06,3.67E-06,3.67E-06,3.67E-06,3.67E-06,3.67E-06,3.67E-06,3.67E-06,3.67E-06,3.67E-06,3.67E-06,3.67E-06,3.67E-06,3.67E-06,3.67E-06,3.67E-06,3.67E-06,3.67E-06,3.67E-06,3.67E-06,3.67E-06,3.67E-06,3.67E-06,3.67E-06,3.67E-06,3.67E-06,3.67E-06
DBEB,Y,1,2.06E-06,2.06E-06,2.06E-06,2.06E-06,2.06E-06,2.06E-06,2.06E-06,2.06E-06,2.06E-06,2.06E-06,2.06E-06,2.06E-06,2.06E-06,2.06E-06,2.06E-06,2.06E-06,2.06E-06,2.06E-06,2.06E-06,2.06E-06,2.06E-06,2.06E-06,2.06E-06,2.06E-06,2.06E-06,2.06E-06,2.06E-06,2.06E-06,2.06E-06,2.06E-06,2.06E-06,2.06E-06,2.06E-06,2.06E-06,2.06E-06,2.06E-06,2.06E-06,2.06E-06,2.06E-06,2.06E-06,2.06E-06,2.06E-06,2.06E-06,2.06E-06
DBEB,Y,2,7.17E-06,7.17E-06,7.17E-06,7.17E-06,7.17E-06,7.17E-06,7.17E-06,7.17E-06,7.17E-06,7.17E-06,7.17E-06,7.17E-06,7.17E-06,7.17E-06,7.17E-06,7.17E-06,7.17E-06,7.17E-06,7.17E-06,7.17E-06,7.17E-06,7.17E-06,7.17E-06,7.17E-06,7.17E-06,7.17E-06,7.17E-06,7.17E-06,7.17E-06,7.17E-06,7.17E-06,7.17E-06,7.17E-06,7.17E-06,7.17E-06,7.17E-06,7.17E-06,7.17E-06,7.17E-06,7.17E-06,7.17E-06,7.17E-06,7.17E-06,7.17E-06
DBEB,Y,3,7.66E-04,7.66E-04,7.66E-04,7.66E-04,7.66E-04,7.66E-04,7.66E-04,7.66E-04,7.66E-04,7.66E-04,7.66E-04,7.66E-04,7.66E-04,7.66E-04,7.66E-04,7.66E-04,7.66E-04,7.66E-04,7.66E-04,7.66E-04,7.66E-04,7.66E-04,7.66E-04,7.66E-04,7.66E-04,7.66E-04,7.66E-04,7.66E-04,7.66E-04,7.66E-04,7.66E-04,7.66E-04,7.66E-04,7.66E-04,7.66E-04,7.66E-04,7.66E-04,7.66E-04,7.66E-04,7.66E-04,7.66E-04,7.66E-04,7.66E-04,7.66E-04
DBEB,Y,4,1.20E-03,1.20E-03,1.20E-03,1.20E-03,1.20E-03,1.20E-03,1.20E-03,1.20E-03,1.20E-03,1.20E-03,1.20E-03,1.20E-03,1.20E-03,1.20E-03,1.20E-03,1.20E-03,1.20E-03,1.20E-03,1.20E-03,1.20E-03,1.20E-03,1.20E-03,1.20E-03,1.20E-03,1.20E-03,1.20E-03,1.20E-03,1.20E-03,1.20E-03,1.20E-03,1.20E-03,1.20E-03,1.20E-03,1.20E-03,1.20E-03,1.20E-03,1.20E-03,1.20E-03,1.20E-03,1.20E-03,1.20E-03,1.20E-03,1.20E-03,1.20E-03
DBEB,Y,5,2.65E-03,2.65E-03,2.65E-03,2.65E-03,2.65E-03,2.65E-03,2.65E-03,2.65E-03,2.65E-03,2.65E-03,2.65E-03,2.65E-03,2.65E-03,2.65E-03,2.65E-03,2.65E-03,2.65E-03,2.65E-03,2.65E-03,2.65E-03,2.65E-03,2.65E-03,2.65E-03,2.65E-03,2.65E-03,2.65E-03,2.65E-03,2.65E-03,2.65E-03,2.65E-03,2.65E-03,2.65E-03,2.65E-03,2.65E-03,2.65E-03,2.65E-03,2.65E-03,2.65E-03,2.65E-03,2.65E-03,2.65E-03,2.65E-03,2.65E-03,2.65E-03
DBEB,Y,6,5.73E-04,5.73E-04,5.73E-04,5.73E-04,5.73E-04,5.73E-04,5.73E-04,5.73E-04,5.73E-04,5.73E-04,5.73E-04,5.73E-04,5.73E-04,5.73E-04,5.73E-04,5.73E-04,5.73E-04,5.73E-04,5.73E-04,5.73E-04,5.73E-04,5.73E-04,5.73E-04,5.73E-04,5.73E-04,5.73E-04,5.73E-04,5.73E-04,5.73E-04,5.73E-04,5.73E-04,5.73E-04,5.73E-04,5.73E-04,5.73E-04,5.73E-04,5.73E-04,5.73E-04,5.73E-04,5.73E-04,5.73E-04,5.73E-04,5.73E-04,5.73E-04
DBEB,Y,7,2.40E-04,2.40E-04,2.40E-04,2.40E-04,2.40E-04,2.40E-04,2.40E-04,2.40E-04,2.40E-04,2.40E-04,2.40E-04,2.40E-04,2.40E-04,2.40E-04,2.40E-04,2.40E-04,2.40E-04,2.40E-04,2.40E-04,2.40E-04,2.40E-04,2.40E-04,2.40E-04,2.40E-04,2.40E-04,2.40E-04,2.40E-04,2.40E-04,2.40E-04,2.40E-04,2.40E-04,2.40E-04,2.40E-04,2.40E-04,2.40E-04,2.40E-04,2.40E-04,2.40E-04,2.40E-04,2.40E-04,2.40E-04,2.40E-04,2.40E-04,2.40E-04
DBEB,Y,8,2.21E-03,2.21E-03,2.21E-03,2.21E-03,2.21E-03,2.21E-03,2.21E-03,2.21E-03,2.21E-03,2.21E-03,2.21E-03,2.21E-03,2.21E-03,2.21E-03,2.21E-03,2.21E-03,2.21E-03,2.21E-03,2.21E-03,2.21E-03,2.21E-03,2.21E-03,2.21E-03,2.21E-03,2.21E-03,2.21E-03,2.21E-03,2.21E-03,2.21E-03,2.21E-03,2.21E-03,2.21E-03,2.21E-03,2.21E-03,2.21E-03,2.21E-03,2.21E-03,2.21E-03,2.21E-03,2.21E-03,2.21E-03,2.21E-03,2.21E-03,2.21E-03
DBEB,Y,9,7.45E-04,7.45E-04,7.45E-04,7.45E-04,7.45E-04,7.45E-04,7.45E-04,7.45E-04,7.45E-04,7.45E-04,7.45E-04,7.45E-04,7.45E-04,7.45E-04,7.45E-04,7.45E-04,7.45E-04,7.45E-04,7.45E-04,7.45E-04,7.45E-04,7.45E-04,7.45E-04,7.45E-04,7.45E-04,7.45E-04,7.45E-04,7.45E-04,7.45E-04,7.45E-04,7.45E-04,7.45E-04,7.45E-04,7.45E-04,7.45E-04,7.45E-04,7.45E-04,7.45E-04,7.45E-04,7.45E-04,7.45E-04,7.45E-04,7.45E-04,7.45E-04
